config_id,control_type,density,anchor_nnz_capture,padding_fraction,metadata_ratio,byte_ratio,analytical_proxy_speedup_rho1_25,window_cluster_gain_over_random
cora_gcnii16,real,0.7482964249446086,0.9380233071498278,0.0,0.7243756923929099,0.7796574963072378,1.2972849567375504,0.0005033835703274203
cora_gcnii16,density_matched_independent,0.7485632847119645,0.5029521396705517,0.0,1.414801052437223,0.801283234859675,1.1577693940502256,3.3401304988522895e-06
cora_gcnii16,node_permutation,0.7482964249446086,0.5030468568409296,0.0,1.3850454671344166,0.799182976366322,1.1596542856939733,0.0005352909368969705
cora_gcnii16,temporal_order,0.7639863367799113,0.7940013777571173,0.0,1.1660069700886262,0.8095227104874446,1.2181864827915836,0.0008469781156319467
cora_gcnii16,random_init,0.921582175498523,0.88516583759558,0.0,0.9644730312961596,0.9599104505169868,1.0382389798645455,0.0001527597280426285
pubmed_gcnii16,real,0.6300800863468073,0.9317939629009666,0.0,0.6401899376172846,0.6582422528782269,1.5387660640873078,0.0014169610666474597
pubmed_gcnii16,density_matched_independent,0.6301159453136886,0.37166892727409784,0.0,1.3755044029264087,0.6814645990769387,1.3322136431656,5.014719852258764e-06
pubmed_gcnii16,node_permutation,0.6300800863468073,0.36922904680021823,0.0,1.3124352161206065,0.6796134046761678,1.3340721422308444,0.001343705378587856
pubmed_gcnii16,temporal_order,0.6501789382258965,0.7829841426513828,0.0,1.0311002244256227,0.6909044225794999,1.4289125118225545,0.0020546686811364623
pubmed_gcnii16,random_init,0.8806488769209312,0.8904213529671857,0.0,0.9396085468757924,0.9184269919358928,1.0875341803516,0.00011419260575951107
