config_id,model_valid,window_start,window_end,W,representation,grouping_method,total_nnz,regular_slots,anchor_slots,anchor_true_nnz,anchor_holes,sparse_additions,support_metadata_bits,value_bytes,total_transfer_bytes,byte_ratio_to_dense,byte_ratio_to_independent,byte_ratio_to_phase0,byte_ratio_to_delta_v1,metadata_ratio_to_full_bitmap,analytical_proxy_speedup_rho1_10,analytical_proxy_speedup_rho1_25,analytical_proxy_speedup_rho1_50,replay_amplification,independently_decodable,exact_decode_pass
cora_gcnii16,True,4,7,4,R0_INDEPENDENT,window_cost_cluster,518755,0,0,0,0,518755,704080,2075020,3088000,1.1135985967503692,1.0,1.2889007613196206,1.4128429621387368,1.015625,0.6611731673075749,0.6611731673075749,0.6611731673075749,1.0,True,True
cora_gcnii16,True,4,7,4,R1_DELTA_V1,window_cost_cluster,518755,436720,436720,423492,13228,95263,205568,2075020,2185664,0.7881970088626292,0.7077927461139897,0.9122746093228262,1.0,0.2965288035450517,1.272665489673343,1.2401335752487765,1.1894586124687192,1.0,False,True
cora_gcnii16,True,4,7,4,R2_CHAIN_GAP,window_cost_cluster,518755,0,0,0,0,518755,310965,2075020,2137664,0.7708871861152142,0.6922487046632124,0.8922398824629357,0.9780387104330767,0.4485624192208272,1.2046231946890429,1.0611435509800011,0.8853838132342433,1.4738153811522197,False,True
cora_gcnii16,True,4,7,4,R3_MOSAIC_ANCHOR,window_cost_cluster,518755,487780,487780,487780,0,30975,502172,2075020,2161984,0.7796574963072378,0.7001243523316062,0.9023908107386136,0.9891657638136512,0.7243756923929099,1.3087571349416036,1.297377213162077,1.278844176100072,1.0,True,True
cora_gcnii16,True,8,11,4,R0_INDEPENDENT,window_cost_cluster,539920,0,0,0,0,539920,704080,2159680,3155712,1.138016986706056,1.0,1.2798297297998806,1.393905128060157,1.015625,0.6355164175930154,0.6355164175930154,0.6355164175930154,1.0,True,True
cora_gcnii16,True,8,11,4,R1_DELTA_V1,window_cost_cluster,539920,465520,465520,453061,12459,86859,177064,2159680,2263936,0.8164235598227474,0.7174089397258051,0.9181612894852961,1.0,0.25541220457902514,1.2295295814231155,1.2017596967725748,1.1581630053351666,1.0,False,True
cora_gcnii16,True,8,11,4,R2_CHAIN_GAP,window_cost_cluster,539920,0,0,0,0,539920,289232,2159680,2218176,0.7999215288035451,0.7029082501825261,0.8996028759052094,0.9797874144852151,0.4172128877400295,1.1584407250949147,1.0203526537340672,0.851237721021611,1.4219484704320406,False,True
cora_gcnii16,True,8,11,4,R3_MOSAIC_ANCHOR,window_cost_cluster,539920,514352,514352,514352,0,25568,470982,2159680,2240256,0.807884047267356,0.7099050863957167,0.908557634905391,0.9895403403629784,0.6793845781019202,1.2608250302635253,1.252091490991056,1.2378013941263855,1.0,True,True
cora_gcnii16,True,12,15,4,R0_INDEPENDENT,window_cost_cluster,565480,0,0,0,0,565480,704080,2261920,3228416,1.1642355982274741,1.0,1.2647678266974225,1.3669349375389535,1.015625,0.6070674856081025,0.6070674856081025,0.6070674856081025,1.0,True,True
cora_gcnii16,True,12,15,4,R1_DELTA_V1,window_cost_cluster,565480,501616,501616,489641,11975,75839,143992,2261920,2361792,0.8517125184638109,0.7315637142177465,0.9252582489218735,1.0,0.2077063330871492,1.1804207435216296,1.1579903443454789,1.1224425196863144,1.0,False,True
