config_id,window_start,W,fraction_absent,fraction_full_core,fraction_lane_anchor,fraction_independent_sparse,anchor_nnz_capture,anchor_slot_occupancy,padding_fraction,sparse_addition_fraction,mean_anchor_lanes_per_feature,p50_anchor_lifetime,p90_anchor_lifetime
cora_gcnii16,4,4,0.01948529411764706,0.3834558823529412,0.564889705882353,0.03216911764705882,0.9380233071498278,1.0,0.0,0.06197669285017228,22.41636029411765,4,4
cora_gcnii16,8,4,0.01636029411764706,0.4476102941176471,0.5108455882352941,0.025183823529411765,0.9508999794010654,1.0,0.0,0.04910002059893434,23.6375,4,4
cora_gcnii16,12,4,0.01875,0.5003676470588235,0.4661764705882353,0.014705882352941176,0.9661634475323821,1.0,0.0,0.03383655246761787,25.14669117647059,4,4
pubmed_gcnii16,4,4,0.06708367098865478,0.37689931118314424,0.4674837925445705,0.08853322528363047,0.9317939629009666,1.0,0.0,0.06820603709903342,18.89135940032415,4,4
pubmed_gcnii16,8,4,0.05700465964343598,0.42354639384116693,0.46740782009724474,0.05204112641815235,0.9511859577676468,1.0,0.0,0.048814042232353125,20.398475486223663,4,4
pubmed_gcnii16,12,4,0.05862540518638574,0.46307739059967584,0.4445907617504052,0.03370644246353322,0.9702195791730166,1.0,0.0,0.0297804208269834,22.06075263371151,4,4
cora_deepres28_w128,4,4,0.14080882352941176,0.128125,0.5808823529411765,0.15018382352941176,0.8031963427161026,1.0,0.0,0.19680365728389734,12.421875,4,4
cora_deepres28_w128,8,4,0.18051470588235294,0.15588235294117647,0.5693933823529411,0.09420955882352941,0.8812175053333711,1.0,0.0,0.11878249466662882,13.31737132352941,4,4
cora_deepres28_w128,12,4,0.2000919117647059,0.1420955882352941,0.5677389705882353,0.0900735294117647,0.8887964406266048,1.0,0.0,0.11120355937339509,12.972150735294118,4,4
cora_deepres28_w128,16,4,0.23823529411764705,0.1401654411764706,0.5445772058823529,0.07702205882352942,0.9093386855406405,1.0,0.0,0.09066131445935952,12.515257352941177,4,4
cora_deepres28_w128,20,4,0.26112132352941175,0.13722426470588237,0.5348345588235294,0.06681985294117647,0.9167364489924031,1.0,0.0,0.08326355100759672,12.090441176470588,4,4
cora_deepres28_w128,24,4,0.29237132352941175,0.13520220588235293,0.5047794117647059,0.06764705882352941,0.9268672642566089,1.0,0.0,0.07313273574339113,11.672794117647058,4,4
chameleon_gcnii16,4,4,0.05164930555555555,0.1857638888888889,0.6321614583333334,0.1304253472222222,0.8214702756501843,1.0,0.0,0.17852972434981576,14.980902777777779,4,4
chameleon_gcnii16,8,4,0.015407986111111112,0.29296875,0.6189236111111112,0.07269965277777778,0.8691136223096747,1.0,0.0,0.13088637769032538,19.58246527777778,4,4
chameleon_gcnii16,12,4,0.018663194444444444,0.5017361111111112,0.4494357638888889,0.030164930555555556,0.9346917084734755,1.0,0.0,0.06530829152652455,24.24848090277778,4,4
cora_resgcn16,4,4,0.16727941176470587,0.10680147058823529,0.18419117647058825,0.5417279411764706,0.508353650911398,1.0,0.0,0.49164634908860205,6.173713235294118,4,4
cora_resgcn16,8,4,0.17408088235294117,0.07849264705882353,0.18125,0.5661764705882353,0.46191271104630166,1.0,0.0,0.5380872889536983,5.061213235294118,4,4
cora_resgcn16,12,4,0.19852941176470587,0.056801470588235294,0.1463235294117647,0.5983455882352942,0.40431261437070937,1.0,0.0,0.5956873856292907,3.895220588235294,4,4
pubmed_deepres28_w128,4,4,0.29877431118314424,0.2519626215559157,0.31942615478119935,0.1298369124797407,0.8368178282827115,1.0,0.0,0.1631821717172885,13.070426458670989,4,4
pubmed_deepres28_w128,8,4,0.34739667747163694,0.26175040518638576,0.30256027147487846,0.08829264586709887,0.9049387604859892,1.0,0.0,0.09506123951401074,13.067400222852513,4,4
pubmed_deepres28_w128,12,4,0.39427167747163694,0.2618517017828201,0.27805915721231766,0.06581746353322529,0.9354260074158655,1.0,0.0,0.06457399258413449,12.693666430307943,4,4
pubmed_deepres28_w128,16,4,0.4137839343598055,0.2584076175040519,0.2752228525121556,0.052585595623987035,0.9430467551476993,1.0,0.0,0.056953244852300626,12.579087317666126,4,4
pubmed_deepres28_w128,20,4,0.43166278363047,0.2508103727714749,0.26047153565640196,0.05705530794165316,0.941170903321452,1.0,0.0,0.05882909667854781,12.079112641815234,4,4
pubmed_deepres28_w128,24,4,0.47042139384116693,0.25972447325769854,0.22289049837925445,0.046963634521880064,0.9521769800790018,1.0,0.0,0.04782301992099801,11.8326960089141,4,4
