config_id,window_start,representation,M,K,N,scalesim_cycles,scalesim_utilization,dense_scalesim_cycles,analytical_regular_cycles,analytical_residual_cycles,analytical_decode_cycles,hybrid_total_cycles,hybrid_speedup_vs_dense_combination,scalesim_run_success
cora_gcnii16,4,R3_MOSAIC_ANCHOR,32,64,64,1155.0,25.447316103379723,1155.0,6856,467.5,97,1719.5,0.6717068915382378,True
cora_gcnii16,4,R3_MOSAIC_ANCHOR,32,64,64,1155.0,25.447316103379723,1155.0,5936,427.5,94,1676.5,0.6889352818371608,True
cora_gcnii16,4,R3_MOSAIC_ANCHOR,32,58,64,1155.0,23.061630218687878,1155.0,5932,340.0,83,1578.0,0.7319391634980988,True
cora_gcnii16,4,R3_MOSAIC_ANCHOR,32,63,64,1155.0,25.04970178926441,1155.0,5316,716.25,111,1982.25,0.5826712069617859,True
cora_gcnii16,4,R3_MOSAIC_ANCHOR,32,64,64,1155.0,25.447316103379723,1155.0,7048,367.5,90,1612.5,0.7162790697674418,True
cora_gcnii16,4,R3_MOSAIC_ANCHOR,32,64,64,1155.0,25.447316103379723,1155.0,6348,450.0,97,1702.0,0.6786133960047004,True
cora_gcnii16,4,R3_MOSAIC_ANCHOR,32,64,64,1155.0,25.447316103379723,1155.0,6964,326.25,87,1568.25,0.7364897178383548,True
cora_gcnii16,4,R3_MOSAIC_ANCHOR,32,64,64,1155.0,25.447316103379723,1155.0,6248,601.25,107,1863.25,0.6198846102240708,True
cora_gcnii16,4,R3_MOSAIC_ANCHOR,32,63,64,1155.0,25.04970178926441,1155.0,6340,480.0,96,1731.0,0.6672443674176777,True
cora_gcnii16,4,R3_MOSAIC_ANCHOR,32,55,64,1155.0,21.868787276341948,1155.0,5380,413.75,86,1654.75,0.6979906330261368,True
cora_gcnii16,4,R3_MOSAIC_ANCHOR,32,58,64,1155.0,23.061630218687878,1155.0,6056,342.5,82,1579.5,0.7312440645773979,True
cora_gcnii16,4,R3_MOSAIC_ANCHOR,32,63,64,1155.0,25.04970178926441,1155.0,5268,421.25,93,1669.25,0.6919275123558485,True
cora_gcnii16,4,R3_MOSAIC_ANCHOR,32,64,64,1155.0,25.447316103379723,1155.0,7112,327.5,86,1568.5,0.7363723302518329,True
cora_gcnii16,4,R3_MOSAIC_ANCHOR,32,64,64,1155.0,25.447316103379723,1155.0,5496,385.0,90,1630.0,0.7085889570552147,True
cora_gcnii16,4,R3_MOSAIC_ANCHOR,32,60,64,1155.0,23.856858846918488,1155.0,5436,437.5,92,1684.5,0.6856634016028496,True
cora_gcnii16,4,R3_MOSAIC_ANCHOR,32,64,64,1155.0,25.447316103379723,1155.0,6036,545.0,103,1803.0,0.6405990016638935,True
cora_gcnii16,4,R3_MOSAIC_ANCHOR,32,58,64,1155.0,23.061630218687878,1155.0,6068,322.5,81,1558.5,0.7410972088546679,True
cora_gcnii16,4,R3_MOSAIC_ANCHOR,32,62,64,1155.0,24.652087475149106,1155.0,5988,470.0,95,1720.0,0.6715116279069767,True
cora_gcnii16,4,R3_MOSAIC_ANCHOR,32,58,64,1155.0,23.061630218687878,1155.0,6060,466.25,91,1712.25,0.67455102934735,True
cora_gcnii16,4,R3_MOSAIC_ANCHOR,32,62,64,1155.0,24.652087475149106,1155.0,5568,485.0,97,1737.0,0.6649395509499136,True
cora_gcnii16,4,R3_MOSAIC_ANCHOR,32,64,64,1155.0,25.447316103379723,1155.0,6404,480.0,99,1734.0,0.6660899653979239,True
cora_gcnii16,4,R3_MOSAIC_ANCHOR,32,63,64,1155.0,25.04970178926441,1155.0,5764,437.5,95,1687.5,0.6844444444444444,True
cora_gcnii16,4,R3_MOSAIC_ANCHOR,32,62,64,1155.0,24.652087475149106,1155.0,6316,443.75,93,1691.75,0.6827249889168021,True
cora_gcnii16,4,R3_MOSAIC_ANCHOR,32,60,64,1155.0,23.856858846918488,1155.0,4596,577.5,101,1833.5,0.6299427324788656,True
cora_gcnii16,4,R3_MOSAIC_ANCHOR,32,64,64,1155.0,25.447316103379723,1155.0,6416,518.75,100,1773.75,0.6511627906976745,True
cora_gcnii16,4,R3_MOSAIC_ANCHOR,32,64,64,1155.0,25.447316103379723,1155.0,7284,345.0,88,1588.0,0.7273299748110831,True
cora_gcnii16,4,R3_MOSAIC_ANCHOR,32,64,64,1155.0,25.447316103379723,1155.0,7460,326.25,86,1567.25,0.7369596426862338,True
cora_gcnii16,4,R3_MOSAIC_ANCHOR,32,64,64,1155.0,25.447316103379723,1155.0,5700,478.75,100,1733.75,0.6661860129776496,True
cora_gcnii16,4,R3_MOSAIC_ANCHOR,32,63,64,1155.0,25.04970178926441,1155.0,6024,452.5,95,1702.5,0.6784140969162996,True
cora_gcnii16,4,R3_MOSAIC_ANCHOR,32,63,64,1155.0,25.04970178926441,1155.0,6412,503.75,98,1756.75,0.6574640671694891,True
cora_gcnii16,4,R3_MOSAIC_ANCHOR,32,63,64,1155.0,25.04970178926441,1155.0,6616,328.75,85,1568.75,0.7362549800796813,True
cora_gcnii16,4,R3_MOSAIC_ANCHOR,32,55,64,1155.0,21.868787276341948,1155.0,6348,238.75,71,1464.75,0.7885304659498208,True
cora_gcnii16,4,R3_MOSAIC_ANCHOR,32,64,64,1155.0,25.447316103379723,1155.0,6288,282.5,83,1520.5,0.7596185465307465,True
cora_gcnii16,4,R3_MOSAIC_ANCHOR,32,64,64,1155.0,25.447316103379723,1155.0,5308,571.25,104,1830.25,0.6310613304193416,True
cora_gcnii16,4,R3_MOSAIC_ANCHOR,32,54,64,1155.0,21.47117296222664,1155.0,6000,332.5,79,1566.5,0.7373124800510693,True
cora_gcnii16,4,R3_MOSAIC_ANCHOR,32,61,64,1155.0,24.2544731610338,1155.0,5200,560.0,101,1816.0,0.6360132158590308,True
cora_gcnii16,4,R3_MOSAIC_ANCHOR,32,64,64,1155.0,25.447316103379723,1155.0,6764,507.5,98,1760.5,0.6560636182902585,True
cora_gcnii16,4,R3_MOSAIC_ANCHOR,32,64,64,1155.0,25.447316103379723,1155.0,4916,706.25,112,1973.25,0.5853287723299125,True
cora_gcnii16,4,R3_MOSAIC_ANCHOR,32,51,64,1155.0,20.27833001988072,1155.0,4000,735.0,101,1991.0,0.580110497237569,True
cora_gcnii16,4,R3_MOSAIC_ANCHOR,32,64,64,1155.0,25.447316103379723,1155.0,6212,432.5,94,1681.5,0.6868867082961642,True
cora_gcnii16,4,R3_MOSAIC_ANCHOR,32,63,64,1155.0,25.04970178926441,1155.0,6772,310.0,84,1549.0,0.7456423499031634,True
cora_gcnii16,4,R3_MOSAIC_ANCHOR,32,56,64,1155.0,22.266401590457257,1155.0,4816,817.5,114,2086.5,0.5535585909417685,True
cora_gcnii16,4,R3_MOSAIC_ANCHOR,32,64,64,1155.0,25.447316103379723,1155.0,6088,408.75,94,1657.75,0.6967274920826422,True
cora_gcnii16,4,R3_MOSAIC_ANCHOR,32,54,64,1155.0,21.47117296222664,1155.0,6196,266.25,73,1494.25,0.7729630249288941,True
cora_gcnii16,4,R3_MOSAIC_ANCHOR,32,57,64,1155.0,22.664015904572565,1155.0,4216,691.25,105,1951.25,0.5919282511210763,True
cora_gcnii16,4,R3_MOSAIC_ANCHOR,32,64,64,1155.0,25.447316103379723,1155.0,5032,718.75,113,1986.75,0.5813514533786335,True
cora_gcnii16,4,R3_MOSAIC_ANCHOR,32,59,64,1155.0,23.45924453280318,1155.0,4520,872.5,117,2144.5,0.5385870832361855,True
cora_gcnii16,4,R3_MOSAIC_ANCHOR,32,54,64,1155.0,21.47117296222664,1155.0,4772,790.0,109,2054.0,0.562317429406037,True
cora_gcnii16,4,R3_MOSAIC_ANCHOR,32,38,64,893.0,15.109343936381707,1155.0,3920,743.75,95,1731.75,0.6669553919445648,True
