kernel,tile_rows,slice_width,repetitions,median_us,p05_us,p95_us,throughput_gbps,event_rate_per_s,device,success,error
xor_decode,128,128,100,59.39200147986412,18.432000651955605,113.66400122642517,1.1034482483675667,275862062.0918917,NVIDIA GeForce RTX 4060 Laptop GPU,true,
popcount,128,128,100,118.75200271606445,59.39200147986412,217.0879989862442,0.5518727979409013,137968199.48522532,NVIDIA GeForce RTX 4060 Laptop GPU,true,
packed_gather,128,128,100,264.19200003147125,192.51200556755066,404.4159948825836,0.24806201547432616,62015503.86858154,NVIDIA GeForce RTX 4060 Laptop GPU,true,
xor_decode,256,128,100,35.312000662088394,20.479999482631683,96.25600278377533,3.7118259385603514,927956484.6400878,NVIDIA GeForce RTX 4060 Laptop GPU,true,
popcount,256,128,100,76.19200274348259,60.416001826524734,152.5759994983673,1.7202855323449522,430071383.0862381,NVIDIA GeForce RTX 4060 Laptop GPU,true,
packed_gather,256,128,100,246.799997985363,180.12799322605133,448.4480023384094,0.5310859038490491,132771475.96226227,NVIDIA GeForce RTX 4060 Laptop GPU,true,
xor_decode,128,256,100,30.719999223947525,17.311999574303627,75.77600330114365,4.2666667744517355,1066666693.6129339,NVIDIA GeForce RTX 4060 Laptop GPU,true,
popcount,128,256,100,119.29600313305855,68.60800087451935,281.6320061683655,1.0987124174965603,274678104.3741401,NVIDIA GeForce RTX 4060 Laptop GPU,true,
packed_gather,128,256,100,289.792001247406,193.63200664520264,487.42398619651794,0.45229681784107995,113074204.46026997,NVIDIA GeForce RTX 4060 Laptop GPU,true,
