config_id,pair_start_layer,pair_end_layer,slice_width,tile_rows,feature_cache_bytes,beicsr_memory_cycles,xorflow_memory_cycles,aggregation_cycles,descriptor_cycles,support_decode_cycles,support_encode_cycles,combination_scalesim_cycles_per_engine,combination_scalesim_utilization,combination_scalesim_success,support_cache_fits,beicsr_host_cycles,xorflow_host_cycles,host_speedup,beicsr_stream_cycles,xorflow_stream_cycles,double_buffered,model_scope
yelp_deepres8_w128_s7_balanced_fallback,4,5,128,128,1048576,14124094,13101173,7158862,89606,48801,363171,1435199,99.89527584676411,True,True,15648899,14674779,1.0663805567361526,14213700,13239580,True,aggregation+combination+support_io; energy_pending
yelp_deepres8_w128_s7_balanced_fallback,6,7,128,128,1048576,14124823,12931090,7107013,89606,48863,361741,1435199,99.89527584676411,True,True,15649628,14504758,1.078930651583432,14214429,13069559,True,aggregation+combination+support_io; energy_pending
