kernel,tile_rows,slice_width,repetitions,median_us,p05_us,p95_us,throughput_gbps,event_rate_per_s,device,success,error
xor_decode,128,128,100,62.44799867272377,22.52800017595291,205.82400262355804,1.0494491639909833,262362290.9977458,NVIDIA GeForce RTX 4060 Laptop GPU,true,
popcount,128,128,100,119.93600055575371,74.75200295448303,267.2640085220337,0.5464247573399348,136606189.33498368,NVIDIA GeForce RTX 4060 Laptop GPU,true,
packed_gather,128,128,100,302.607998251915,190.62399864196777,549.7919917106628,0.21657061405707662,54142653.51426916,NVIDIA GeForce RTX 4060 Laptop GPU,true,
xor_decode,256,128,100,32.76799991726875,16.287999227643013,104.44799810647964,4.000000010099029,1000000002.5247573,NVIDIA GeForce RTX 4060 Laptop GPU,true,
popcount,256,128,100,96.78400307893753,67.48799979686737,223.1999933719635,1.354273390542619,338568347.6356547,NVIDIA GeForce RTX 4060 Laptop GPU,true,
packed_gather,256,128,100,252.9280036687851,184.32000279426575,443.3920085430145,0.5182186159648883,129554653.99122208,NVIDIA GeForce RTX 4060 Laptop GPU,true,
xor_decode,128,256,100,48.1599997729063,28.672000393271446,143.26399564743042,2.7215946972187917,680398674.3046979,NVIDIA GeForce RTX 4060 Laptop GPU,true,
popcount,128,256,100,118.24000254273415,59.4559982419014,193.85600090026855,1.108525009990829,277131252.4977072,NVIDIA GeForce RTX 4060 Laptop GPU,true,
packed_gather,128,256,100,253.9519965648651,189.43999707698822,603.1360030174255,0.516129039239592,129032259.809898,NVIDIA GeForce RTX 4060 Laptop GPU,true,
