kernel,tile_rows,slice_width,repetitions,median_us,p05_us,p95_us,throughput_gbps,event_rate_per_s,device,success,error
xor_decode,128,128,100,32.76799991726875,15.359999611973763,84.99199897050858,2.0000000050495146,500000001.26237863,NVIDIA GeForce RTX 4060 Laptop GPU,true,
popcount,128,128,100,88.6400006711483,59.29600074887276,297.9840040206909,0.7393501749073375,184837543.72683436,NVIDIA GeForce RTX 4060 Laptop GPU,true,
packed_gather,128,128,100,393.21599900722504,228.35199534893036,808.8639974594116,0.16666666708745956,41666666.77186489,NVIDIA GeForce RTX 4060 Laptop GPU,true,
xor_decode,256,128,100,67.58400052785873,48.128001391887665,121.85599654912949,1.939393924246478,484848481.0616196,NVIDIA GeForce RTX 4060 Laptop GPU,true,
popcount,256,128,100,180.25600165128708,105.47199845314026,485.24799942970276,0.7271436113043513,181785902.82608783,NVIDIA GeForce RTX 4060 Laptop GPU,true,
packed_gather,256,128,100,295.4239994287491,190.46400487422943,683.0080151557922,0.44367417763434686,110918544.40858671,NVIDIA GeForce RTX 4060 Laptop GPU,true,
xor_decode,128,256,100,74.75200295448303,54.27199974656105,123.90399724245071,1.7534245882322455,438356147.05806136,NVIDIA GeForce RTX 4060 Laptop GPU,true,
popcount,128,256,100,171.52000218629837,137.2160017490387,239.6160066127777,0.7641790947369199,191044773.68422994,NVIDIA GeForce RTX 4060 Laptop GPU,true,
packed_gather,128,256,100,336.91199123859406,257.05599784851074,657.4079990386963,0.3890392844675497,97259821.11688742,NVIDIA GeForce RTX 4060 Laptop GPU,true,
