LayerID, Avg IFMAP SRAM BW, Avg FILTER SRAM BW, Avg OFMAP SRAM BW, Avg IFMAP DRAM BW, Avg FILTER DRAM BW, Avg OFMAP DRAM BW,
0, 0.021052631578947368, 1.3473684210526315, 0.3368421052631579, 0.015209125475285171, 0.973384030418251, 64.0,
1, 0.02099737532808399, 1.3438320209973753, 0.3359580052493438, 0.015209125475285171, 1.946768060836502, 64.0,
2, 0.042105263157894736, 2.694736842105263, 0.3368421052631579, 0.030418250950570342, 1.946768060836502, 64.0,
3, 0.04199475065616798, 2.6876640419947506, 0.3359580052493438, 0.030418250950570342, 3.893536121673004, 64.0,
4, 0.08421052631578947, 5.389473684210526, 0.3368421052631579, 0.060836501901140684, 3.893536121673004, 64.0,
5, 0.08398950131233596, 5.375328083989501, 0.3359580052493438, 0.060836501901140684, 7.787072243346008, 64.0,
6, 0.16842105263157894, 10.778947368421052, 0.3368421052631579, 0.12167300380228137, 7.787072243346008, 64.0,
7, 0.1679790026246719, 10.750656167979002, 0.3359580052493438, 0.12167300380228137, 7.801904761904762, 64.0,
8, 0.3368421052631579, 21.557894736842105, 0.3368421052631579, 0.24334600760456274, 7.801904761904762, 64.0,
9, 0.3359580052493438, 21.501312335958005, 0.3359580052493438, 0.24334600760456274, 7.809342230695901, 64.0,
10, 0.33551769331585846, 21.47313237221494, 0.33551769331585846, 0.4866920152091255, 8.928610354223434, 64.0,
11, 0.041884816753926704, 1.3403141361256545, 0.6701570680628273, 0.030418250950570342, 0.973384030418251, 64.0,
12, 0.04177545691906005, 1.3368146214099217, 0.6684073107049608, 0.030418250950570342, 1.946768060836502, 64.0,
13, 0.08376963350785341, 2.680628272251309, 0.6701570680628273, 0.060836501901140684, 1.946768060836502, 64.0,
14, 0.0835509138381201, 2.6736292428198434, 0.6684073107049608, 0.060836501901140684, 3.893536121673004, 64.0,
15, 0.16753926701570682, 5.361256544502618, 0.6701570680628273, 0.12167300380228137, 3.893536121673004, 64.0,
16, 0.1671018276762402, 5.347258485639687, 0.6684073107049608, 0.12167300380228137, 7.787072243346008, 64.0,
17, 0.33507853403141363, 10.722513089005236, 0.6701570680628273, 0.24334600760456274, 7.787072243346008, 64.0,
18, 0.3342036553524804, 10.694516971279374, 0.6684073107049608, 0.24334600760456274, 7.801904761904762, 64.0,
19, 0.6701570680628273, 21.445026178010473, 0.6701570680628273, 0.4866920152091255, 7.801904761904762, 64.0,
20, 0.6684073107049608, 21.389033942558747, 0.6684073107049608, 0.4866920152091255, 7.809342230695901, 64.0,
21, 0.6675358539765319, 21.36114732724902, 0.6675358539765319, 0.973384030418251, 8.928610354223434, 64.0,
22, 0.0625, 1.3333333333333333, 1.0, 0.045627376425855515, 0.973384030418251, 64.0,
23, 0.06233766233766234, 1.3298701298701299, 0.9974025974025974, 0.045627376425855515, 1.946768060836502, 64.0,
24, 0.125, 2.6666666666666665, 1.0, 0.09125475285171103, 1.946768060836502, 64.0,
25, 0.12467532467532468, 2.6597402597402597, 0.9974025974025974, 0.09125475285171103, 3.893536121673004, 64.0,
26, 0.25, 5.333333333333333, 1.0, 0.18250950570342206, 3.893536121673004, 64.0,
27, 0.24935064935064935, 5.3194805194805195, 0.9974025974025974, 0.18250950570342206, 7.787072243346008, 64.0,
28, 0.5, 10.666666666666666, 1.0, 0.3650190114068441, 7.787072243346008, 64.0,
29, 0.4987012987012987, 10.638961038961039, 0.9974025974025974, 0.3650190114068441, 7.801904761904762, 64.0,
30, 1.0, 21.333333333333332, 1.0, 0.7300380228136882, 7.801904761904762, 64.0,
31, 0.9974025974025974, 21.277922077922078, 0.9974025974025974, 0.7300380228136882, 7.809342230695901, 64.0,
32, 0.9961089494163424, 21.250324254215304, 0.9961089494163424, 1.4600760456273765, 8.928610354223434, 64.0,
33, 0.08290155440414508, 1.3264248704663213, 1.3264248704663213, 0.060836501901140684, 0.973384030418251, 64.0,
34, 0.082687338501292, 1.322997416020672, 1.322997416020672, 0.060836501901140684, 1.946768060836502, 64.0,
35, 0.16580310880829016, 2.6528497409326426, 1.3264248704663213, 0.12167300380228137, 1.946768060836502, 64.0,
36, 0.165374677002584, 2.645994832041344, 1.322997416020672, 0.12167300380228137, 3.893536121673004, 64.0,
37, 0.3316062176165803, 5.305699481865285, 1.3264248704663213, 0.24334600760456274, 3.893536121673004, 64.0,
