config_id,pair_start_layer,pair_end_layer,slice_width,tile_rows,feature_cache_bytes,beicsr_memory_cycles,xorflow_memory_cycles,aggregation_cycles,descriptor_cycles,support_decode_cycles,support_encode_cycles,combination_scalesim_cycles_per_engine,combination_scalesim_utilization,combination_scalesim_success,support_cache_fits,beicsr_host_cycles,xorflow_host_cycles,host_speedup,beicsr_stream_cycles,xorflow_stream_cycles,double_buffered,model_scope
ogbn_arxiv_deepres8_w128_s17,4,5,128,128,262144,2457216,2117003,1165012,21168,17212,85067,340191,99.55818937008915,True,True,2818575,2495574,1.1294295420612652,2478384,2155383,True,aggregation+combination+support_io; energy_pending
ogbn_arxiv_deepres8_w128_s17,6,7,128,128,262144,2456594,1795221,1107539,21168,15775,80652,340191,99.55818937008915,True,True,2817953,2172355,1.2971880746931326,2477762,1832164,True,aggregation+combination+support_io; energy_pending
