task_id,stage,status,depends_on,estimated_minutes,started_utc,finished_utc,wall_seconds,log,command,reason
full_format_matrix_arxiv_l4,format_matrix_smoke,SUCCEEDED,,45,2026-07-29T09:02:26Z,2026-07-29T09:03:19Z,53.3,artifacts_hpca_xorflow/complete_suite/paper_suite_format_matrix_smoke_20260729_v1/full_format_matrix_arxiv_l4.log,PYTHONPATH=src python -m mosaic_validation.hpca_format_matrix --configs ogbn_arxiv_deepres8_w128_s17 --max-pairs 1 --output results_hpca_xorflow/complete_suite/baselines/format_matrix_smoke_arxiv_l4/format_matrix.csv,
audit_full_format_matrix_arxiv_l4,format_matrix_smoke,SUCCEEDED,full_format_matrix_arxiv_l4,5,2026-07-29T09:03:19Z,2026-07-29T09:03:19Z,0.3,artifacts_hpca_xorflow/complete_suite/paper_suite_format_matrix_smoke_20260729_v1/audit_full_format_matrix_arxiv_l4.log,python scripts/verify_hpca_format_matrix.py --input results_hpca_xorflow/complete_suite/baselines/format_matrix_smoke_arxiv_l4/format_matrix.csv --output results_hpca_xorflow/complete_suite/baselines/format_matrix_smoke_arxiv_l4/audit.json,
