config_id,pair_start_layer,pair_end_layer,slice_width,tile_rows,edge_order,feature_cache_bytes,nodes,edges,pair_active_values,aggregation_active_values,aggregation_simd_cycles_8x16,aggregation_load_imbalance,selected_xorflow_tile_slices,total_tile_slices,anchor_variants,beicsr_support_bits,xorflow_support_bits,support_ratio_to_beicsr,xorflow_metadata_read_bytes,beicsr_feature_read_bytes,xorflow_feature_read_bytes,beicsr_writeback_bytes,xorflow_writeback_bytes,topology_bytes,beicsr_output_write_bytes,xorflow_output_write_bytes,beicsr_cache_hits,xorflow_cache_hits,beicsr_cache_misses,xorflow_cache_misses,beicsr_total_bytes,xorflow_total_bytes,traffic_reduction,support_decode_cycles,descriptor_cycles,beicsr_serialized_cycles,xorflow_serialized_cycles,xorflow_overlapped_cycles,serialized_speedup,double_buffered_speedup,exact_decode_pass,causal_deployable
cora_deepres28_w128,6,7,128,128,O0,524288,2708,10556,337251,1316929,11298,1.0986509898933752,22,22,"{""A2_CAUSAL_COHORT"": 22}",779904,490505,0.6289299708682095,61888,693248,571968,0,0,106120,1386496,1267712,31392,26194,10832,8937,2185864,2007688,0.08151284800884229,249,339,8878,8431,8182,1.0530186217530542,1.0850647763383037,True,True
cora_deepres28_w128,8,9,128,128,O0,524288,2708,10556,330258,1291256,11089,1.0993817536691575,22,22,"{""A2_CAUSAL_COHORT"": 22}",779904,456925,0.5858733895453799,57920,693248,538304,0,0,106120,1386496,1192448,31392,24757,10832,8411,2185864,1894792,0.1331610749799621,234,339,8878,7975,7741,1.1132288401253918,1.1468802480299702,True,True
cora_deepres28_w128,10,11,128,128,O0,524288,2708,10556,326370,1275785,10953,1.100090755043886,22,22,"{""A2_CAUSAL_COHORT"": 22}",779904,440033,0.5642143135565403,55680,693248,519232,0,0,106120,1386496,1149824,31392,23999,10832,8113,2185864,1830856,0.16241083617279028,224,339,8878,7715,7491,1.1507453013609852,1.185155519957282,True,True
cora_deepres28_w128,12,13,128,128,O0,524288,2708,10556,321320,1258820,10816,1.1006678625069188,22,22,"{""A2_CAUSAL_COHORT"": 22}",779904,409316,0.5248286968652552,52160,693248,497472,0,0,106120,1386496,1099264,31392,23232,10832,7773,2185864,1755016,0.1971064988489677,213,339,8878,7408,7195,1.1984341252699784,1.2339124391938847,True,True
cora_deepres28_w128,14,15,128,128,O0,524288,2708,10556,313002,1227465,10523,1.0982047892729583,22,22,"{""A2_CAUSAL_COHORT"": 22}",779904,407498,0.5224976407352699,51712,693248,440640,0,0,106120,1386496,984704,31392,20633,10832,6885,2185864,1583176,0.27572072187473695,212,339,8878,6736,6524,1.3179928741092637,1.3608215818516247,True,True
cora_deepres28_w128,16,17,128,128,O0,524288,2708,10556,300082,1176170,10032,1.0918986275995621,22,22,"{""A2_CAUSAL_COHORT"": 22}",779904,399924,0.512786189069424,50560,693248,386624,0,0,106120,1386496,874368,31392,17438,10832,6041,2185864,1417672,0.35143631991743307,208,339,8878,6085,5877,1.4589975349219393,1.5106346775565764,True,True
cora_deepres28_w128,18,19,128,128,O0,524288,2708,10556,298112,1167284,9958,1.0930822477320608,22,22,"{""A2_CAUSAL_COHORT"": 22}",779904,381526,0.4891961061874282,48256,693248,378560,0,0,106120,1386496,853632,31392,17098,10832,5915,2185864,1386568,0.36566593347070087,197,339,8878,5953,5756,1.4913488997144297,1.5423905489923557,True,True
cora_deepres28_w128,20,21,128,128,O0,524288,2708,10556,289819,1133071,9654,1.0905445572317873,22,22,"{""A2_CAUSAL_COHORT"": 22}",779904,376999,0.48339154562612835,47680,690240,360384,0,0,106120,1380480,816128,31246,16295,10785,5631,2176840,1330312,0.38887929292001244,194,339,8843,5730,5536,1.543280977312391,1.5973627167630058,True,True
cora_deepres28_w128,22,23,128,128,O0,524288,2708,10556,283206,1106033,9445,1.0931457677859078,22,22,"{""A2_CAUSAL_COHORT"": 22}",779904,358901,0.46018612547185295,45440,682688,352960,0,0,106120,1365376,796800,30995,15925,10667,5515,2154184,1301320,0.3959104700434132,186,339,8754,5609,5423,1.5607060082011053,1.6142356629172046,True,True
cora_deepres28_w128,24,25,128,128,O0,524288,2708,10556,276467,1080277,9216,1.0924041739311456,22,22,"{""A2_CAUSAL_COHORT"": 22}",779904,347041,0.4449791256359757,44160,683008,347712,0,0,106120,1366016,783744,30974,15728,10672,5433,2155144,1281736,0.40526665503558,180,339,8758,5526,5346,1.5848715164676077,1.6382341937897493,True,True
cora_deepres28_w128,26,27,128,128,O0,524288,2708,10556,271014,1057402,9036,1.0941839423534425,22,22,"{""A2_CAUSAL_COHORT"": 22}",779904,347232,0.4452240275726243,44160,655616,346944,0,0,106120,1311232,782208,29835,15701,10244,5421,2072968,1279432,0.3828018570474797,181,339,8437,5518,5337,1.5289960130482059,1.5808506651676972,True,True
ogbn_arxiv_deepres8_w128,4,5,128,128,O0,524288,169343,2315598,20928984,277861681,2240909,1.032385985558113,1323,1323,"{""A2_CAUSAL_COHORT"": 1323}",48770784,34766152,0.7128479214113105,4386816,497144896,364189504,0,0,19879536,86701568,78180352,1494207,1042443,7767889,5690461,603726000,466636208,0.2270728641801082,17648,21168,2379473,1861614,1843966,1.278177430981933,1.290410452253458,True,True
ogbn_arxiv_deepres8_w128,6,7,128,128,O0,524288,169343,2315598,20212001,267199388,2153223,1.0316142304482379,1323,1323,"{""A2_CAUSAL_COHORT"": 1323}",48770784,31343868,0.642677140478201,3960192,496996672,314821504,0,0,19879536,86694400,69645056,1493567,1029456,7765573,4919086,603570608,408306288,0.3235152895317924,15897,21168,2378866,1632012,1616115,1.4576277625409617,1.4719657945133855,True,True
