config_id,source_config_id,control_type,dataset,pair_start_layer,pair_end_layer,format,deployable,slice_width,feature_cache_bytes,edge_order,value_bytes,support_index_bytes,row_pointer_stream_bytes,selector_stream_bytes,descriptor_bytes,reserved_capacity_bytes,feature_cache_accesses,feature_cache_hits,feature_cache_misses,feature_read_bytes,feature_writeback_bytes,topology_bytes,output_write_bytes,total_traffic_bytes,exact_layout_pass,exact_decode_pass,traffic_ratio_to_independent_best,support_decode_cycles,anchor_variants,selected_xorflow_tile_slices,traffic_ratio_to_beicsr,traffic_reduction_vs_beicsr
yelp_deepres8_w128_s7_balanced_fallback__density_matched_independent,yelp_deepres8_w128_s7_balanced_fallback,density_matched_independent,Yelp,4,5,X1_CAUSAL_AUTO,True,128,524288,O0,92972322,23524645,0,5601,5734776,298925248,51482724,3899583,47583141,3045321024,0,117373336,385696896,3572047256,True,True,,95207.0,"{""A2_CAUSAL_COHORT"": 5601}",5601.0,0.9387042358280099,0.06129576417199012
yelp_deepres8_w128_s7_balanced_fallback__density_matched_independent,yelp_deepres8_w128_s7_balanced_fallback,density_matched_independent,Yelp,4,5,X2_CAUSAL_FORCE,True,128,524288,O0,92972322,23524645,0,5601,5734776,298925248,51482724,3899583,47583141,3045321024,0,117373336,385696896,3572047256,True,True,,95207.0,"{""A2_CAUSAL_COHORT"": 5601}",5601.0,0.9387042358280099,0.06129576417199012
yelp_deepres8_w128_s7_balanced_fallback__density_matched_independent,yelp_deepres8_w128_s7_balanced_fallback,density_matched_independent,Yelp,4,5,O0_OFFLINE_MAJORITY,False,128,524288,O0,92972322,25807193,0,701,5734776,275269952,55819264,3930250,51889014,3320896896,0,117373336,367026944,3805297880,True,True,,0.0,{},0.0,1.0000005550159905,-5.550159904998964e-07
yelp_deepres8_w128_s7_balanced_fallback__density_matched_independent,yelp_deepres8_w128_s7_balanced_fallback,density_matched_independent,Yelp,4,5,O1_FREE_SUPPORT,False,128,524288,O0,92972322,0,0,0,5734776,275269248,51482724,3899583,47583141,3045321024,0,117373336,338384896,3501079256,True,True,,0.0,{},716847.0,0.9200544371456595,0.07994556285434051
yelp_deepres8_w128_s7_balanced_fallback__node_permuted_within_rcm_tile,yelp_deepres8_w128_s7_balanced_fallback,node_permuted_within_rcm_tile,Yelp,4,5,DENSE,True,128,524288,O0,183512832,0,0,0,0,183512832,55819276,3932976,51886300,3320723200,0,117373336,367025664,3805122200,True,True,1.0000366004269512,,,,1.0000366004269512,-3.6600426951194365e-05
yelp_deepres8_w128_s7_balanced_fallback__node_permuted_within_rcm_tile,yelp_deepres8_w128_s7_balanced_fallback,node_permuted_within_rcm_tile,Yelp,4,5,CSR32,True,128,524288,O0,92971532,371886128,5734784,0,0,923298944,211411761,33091659,178320102,11412486528,0,117373336,1031490688,12561350552,True,True,3.3012895887530993,,,,3.3012895887530993,-2.3012895887530993
yelp_deepres8_w128_s7_balanced_fallback__node_permuted_within_rcm_tile,yelp_deepres8_w128_s7_balanced_fallback,node_permuted_within_rcm_tile,Yelp,4,5,CSR_PACKED,True,128,524288,O0,92971532,81978325,5734784,0,0,372760448,117522652,35442341,82080311,5253139904,0,117373336,417748608,5788261848,True,True,1.5212320121690028,,,,1.5212320121690028,-0.5212320121690028
yelp_deepres8_w128_s7_balanced_fallback__node_permuted_within_rcm_tile,yelp_deepres8_w128_s7_balanced_fallback,node_permuted_within_rcm_tile,Yelp,4,5,BEICSR,True,128,524288,O0,92971532,22939104,0,0,5734776,275269248,55813451,3929161,51884290,3320594560,0,117373336,367015040,3804982936,True,True,1.0,,,,1.0,0.0
yelp_deepres8_w128_s7_balanced_fallback__node_permuted_within_rcm_tile,yelp_deepres8_w128_s7_balanced_fallback,node_permuted_within_rcm_tile,Yelp,4,5,INDEPENDENT_BEST,True,128,524288,O0,92971532,22939104,5734784,358528,0,281362560,139514162,51660742,87853420,5622618880,0,117373336,379019392,6119011608,True,True,1.6081574374766132,,,,1.6081574374766132,-0.6081574374766132
yelp_deepres8_w128_s7_balanced_fallback__node_permuted_within_rcm_tile,yelp_deepres8_w128_s7_balanced_fallback,node_permuted_within_rcm_tile,Yelp,4,5,X0_CAUSAL_INDEPENDENT,True,128,524288,O0,92971532,24559011,0,5601,5734776,300000512,51796333,3866255,47930078,3067524992,0,117373336,386677760,3596307352,True,True,,100807.0,"{""A0_INDEPENDENT_ROWS"": 5601}",5601.0,0.9451572878223283,0.05484271217767167
