config_id,seed,packed_beicsr_dram_bytes,packed_xorflow_dram_bytes,packed_traffic_reduction,packed_serialized_speedup,packed_overlapped_speedup
cora_gcnii16,7,927504,900304,0.02932601907916299,0.9751370399373531,1.021953221173574
pubmed_gcnii16,7,9201920,7690688,0.16423007372374465,1.1061019486634631,1.1479300320769847
cora_deepres28_w128,7,1897596,1866490,0.016392319545361578,0.9120551518539222,1.0127236991827868
cora_gcnii16,17,912656,882448,0.03309899896565627,0.9791210976337243,1.0247658688865764
pubmed_gcnii16,17,10635648,8958464,0.15769457582650348,1.1069767441860465,1.1460929662245012
cora_deepres28_w128,17,1833660,1774839,0.03207846601878206,0.9289053369692247,1.0244897959183674
cora_gcnii16,27,888208,856464,0.03573937636229352,0.9808981914245072,1.0261479591836735
pubmed_gcnii16,27,10404928,8721088,0.1618310093063594,1.114184866534304,1.149718864531403
cora_deepres28_w128,27,1813884,1748539,0.03602490567202754,0.9332281290068054,1.0278079513360852
