config_id,transactions_32B_per_cycle,injection_bytes_per_cycle,hbm_only_speedup,serialized_speedup,double_buffered_speedup
cora_deepres28_w128,4,128,1.2601503759398496,1.1783099149020384,1.243980151475581
cora_gcnii16,4,128,1.1025787311729804,1.068712543914032,1.095192714951292
pubmed_gcnii16,4,128,1.203354853680974,1.1811773221507136,1.1953691686638586
cora_deepres28_w128,8,256,1.1521609980692114,1.062456274247917,1.1398062227074235
cora_gcnii16,8,256,1.0668013049557248,1.0266630390423073,1.0604187157510188
pubmed_gcnii16,8,256,1.2015242672761495,1.1791484985930538,1.193504921736324
cora_deepres28_w128,16,512,1.1522292040694195,1.061952,1.1397856848468195
cora_gcnii16,16,512,1.0557198443579767,1.0168960348821365,1.050387051372273
pubmed_gcnii16,16,512,1.202255790872542,1.1798220768340846,1.194199925702195
