config_id,feature_cache_bytes,dram_bytes_per_cycle,aggregate_decode_width_bits,physical_slice_width,fixed_gap8_xorflow_cycles,best_beicsr_cycles,raw_xorflow_speedup,selected_speedup,selected_representation,xorflow_dram_bytes,xorflow_decode_cycles
pubmed_gcnii16,1048576,128,4096,128,67828,74558,1.0992215604175266,1.0992215604175266,XORFLOW,7953568,756
pubmed_gcnii16,1048576,256,1024,128,39020,39746,1.0186058431573553,1.0186058431573553,XORFLOW,7953568,3017
pubmed_gcnii16,1048576,256,2048,128,37512,39746,1.0595542759650245,1.0595542759650245,XORFLOW,7953568,1509
pubmed_gcnii16,1048576,256,4096,128,36759,39746,1.081259011398569,1.081259011398569,XORFLOW,7953568,756
pubmed_gcnii16,1048576,512,1024,128,23486,22340,0.9512049731755088,1.0,BEICSR,7953568,3017
pubmed_gcnii16,1048576,512,2048,128,21978,22340,1.0164710164710165,1.0164710164710165,XORFLOW,7953568,1509
pubmed_gcnii16,1048576,512,4096,128,21225,22340,1.0525323910482922,1.0525323910482922,XORFLOW,7953568,756
cora_deepres28_w128,262144,128,1024,128,20821,27848,1.337495797512127,1.337495797512127,XORFLOW,2239578,2131
cora_deepres28_w128,262144,128,2048,128,19757,27848,1.4095257377132155,1.4095257377132155,XORFLOW,2239578,1067
cora_deepres28_w128,262144,128,4096,128,19226,27848,1.4484552168937896,1.4484552168937896,XORFLOW,2239578,536
cora_deepres28_w128,262144,256,1024,128,12072,14519,1.2027004638833665,1.2027004638833665,XORFLOW,2239578,2131
cora_deepres28_w128,262144,256,2048,128,11008,14519,1.3189498546511629,1.3189498546511629,XORFLOW,2239578,1067
cora_deepres28_w128,262144,256,4096,128,10477,14519,1.3857974611052781,1.3857974611052781,XORFLOW,2239578,536
cora_deepres28_w128,262144,512,1024,128,7699,7858,1.0206520327315236,1.0206520327315236,XORFLOW,2239578,2131
cora_deepres28_w128,262144,512,2048,128,6635,7858,1.1843255463451394,1.1843255463451394,XORFLOW,2239578,1067
cora_deepres28_w128,262144,512,4096,128,6104,7858,1.2873525557011796,1.2873525557011796,XORFLOW,2239578,536
cora_deepres28_w128,524288,128,1024,128,20436,22872,1.1192014092777451,1.1192014092777451,XORFLOW,2190106,2131
cora_deepres28_w128,524288,128,2048,128,19372,22872,1.1806731364856493,1.1806731364856493,XORFLOW,2190106,1067
cora_deepres28_w128,524288,128,4096,128,18841,22872,1.2139483042301364,1.2139483042301364,XORFLOW,2190106,536
cora_deepres28_w128,524288,256,1024,128,11880,12034,1.012962962962963,1.012962962962963,XORFLOW,2190106,2131
cora_deepres28_w128,524288,256,2048,128,10816,12034,1.112610946745562,1.112610946745562,XORFLOW,2190106,1067
cora_deepres28_w128,524288,256,4096,128,10285,12034,1.170053475935829,1.170053475935829,XORFLOW,2190106,536
cora_deepres28_w128,524288,512,1024,128,7603,6613,0.8697882414836249,1.0,BEICSR,2190106,2131
cora_deepres28_w128,524288,512,2048,128,6539,6613,1.0113167150940512,1.0113167150940512,XORFLOW,2190106,1067
cora_deepres28_w128,524288,512,4096,128,6008,6613,1.1006990679094542,1.1006990679094542,XORFLOW,2190106,536
cora_deepres28_w128,1048576,128,1024,128,20436,22872,1.1192014092777451,1.1192014092777451,XORFLOW,2190106,2131
cora_deepres28_w128,1048576,128,2048,128,19372,22872,1.1806731364856493,1.1806731364856493,XORFLOW,2190106,1067
