config_id,fixed_gap8_support_bits,support_ratio_to_beicsr,raw_serialized_speedup,selected_speedup,selected_representation,accuracy_drop,exactness_pass
cora_gcnii16,1132032,0.50244290421543,1.0439755472293433,1.0439755472293433,XORFLOW,0.0009999871253967,True
pubmed_gcnii16,7429632,0.45290085478755154,1.128133874239351,1.128133874239351,XORFLOW,0.0019999742507934,True
cora_deepres28_w128,7126016,0.8223338257016248,1.112610946745562,1.112610946745562,XORFLOW,0.0009999871253967,True
chameleon_gcnii16,995840,0.5256579169622648,0.9547267996530789,1.0,BEICSR,0.0021929740905761,True
