nodes,edges,feature_width,density,support_ratio_to_beicsr,roofline_serialized_speedup,roofline_double_buffered_speedup,selected_speedup,exactness_pass
4096,5930,128,0.45946693420410156,0.6974609375,0.8840109753055625,1.057910447761194,1.057910447761194,True
16384,26086,128,0.46222591400146484,0.70244140625,1.0111261719191234,1.1890150760443647,1.1890150760443647,True
65536,215658,128,0.46631085872650146,0.70628662109375,1.1697663926208142,1.2838554084290064,1.2838554084290064,True
169343,2315598,128,0.47234570701180445,0.6948123040220144,1.31834265255891,1.3531388393838042,1.3531388393838042,True
