config_id,parameter,value,tile_size,cohort_size,window_length,mask_decode_width_bits,rho_delta,proxy_speedup,byte_ratio,metadata_reduction
cora_gcnii16,cartesian,W4_C16_T256,256,16,4,64,1.25,1.2141818006406757,0.8897592615691655,
cora_gcnii16,cartesian,W4_C32_T256,256,32,4,64,1.25,1.202244820663211,0.8767119870275665,
cora_gcnii16,tile_size,256,256,32,4,64,1.25,1.202244820663211,0.8767119870275665,
cora_gcnii16,cartesian,W4_C64_T256,256,64,4,64,1.25,1.1778439420931817,0.8780591243607334,
cora_gcnii16,cartesian,W8_C16_T64,64,16,8,64,1.25,1.2098574678555518,0.8875436907958056,
cora_gcnii16,cartesian,W8_C32_T64,64,32,8,64,1.25,1.1863184554954012,0.8827313712577883,
cora_gcnii16,cartesian,W8_C64_T64,64,64,8,64,1.25,1.1511564947545105,0.8908489944784965,
cora_gcnii16,cartesian,W8_C16_T128,128,16,8,64,1.25,1.2190484700749853,0.8847196190669165,
cora_gcnii16,cartesian,W8_C32_T128,128,32,8,64,1.25,1.200385312936064,0.8777544197355757,
cora_gcnii16,window_length,8,128,32,8,64,1.25,1.200385312936064,0.8777544197355757,
cora_gcnii16,cartesian,W8_C64_T128,128,64,8,64,1.25,1.1780030576612555,0.8781976596930247,
cora_gcnii16,cartesian,W8_C16_T256,256,16,8,64,1.25,1.2292105715825612,0.8818448913428905,
cora_gcnii16,cartesian,W8_C32_T256,256,32,8,64,1.25,1.2177526743700036,0.871587052327643,
cora_gcnii16,cartesian,W8_C64_T256,256,64,8,64,1.25,1.1949018976075898,0.8721949242692872,
cora_resgcn16,cartesian,W1_C32_T128,128,32,1,64,1.25,1.784003029427091,0.7428729078535957,
cora_resgcn16,window_length,1,128,32,1,64,1.25,1.784003029427091,0.7428729078535957,
cora_resgcn16,cartesian,W2_C32_T128,128,32,2,64,1.25,1.6822052222362225,0.7458573390724317,
cora_resgcn16,window_length,2,128,32,2,64,1.25,1.6822052222362225,0.7458573390724317,
cora_resgcn16,cartesian,W4_C32_T128,128,32,4,64,1.25,1.6392207701588004,0.842432332903701,
cora_resgcn16,window_length,4,128,32,4,64,1.25,1.6392207701588004,0.842432332903701,
cora_resgcn16,cohort_size,32,128,32,4,64,1.25,1.6392207701588004,0.842432332903701,
cora_resgcn16,tile_size,128,128,32,4,64,1.25,1.6392207701588004,0.842432332903701,
cora_resgcn16,cartesian,W8_C32_T128,128,32,8,64,1.25,1.6536623125720655,0.864429348439369,
cora_resgcn16,window_length,8,128,32,8,64,1.25,1.6536623125720655,0.864429348439369,
pubmed_deepres28_w128,cartesian,W1_C32_T128,128,32,1,64,1.25,1.832146655212851,0.8890556785629402,
pubmed_deepres28_w128,window_length,1,128,32,1,64,1.25,1.832146655212851,0.8890556785629402,
pubmed_deepres28_w128,cartesian,W2_C32_T128,128,32,2,64,1.25,1.8275516929186126,0.8740337915023486,
pubmed_deepres28_w128,window_length,2,128,32,2,64,1.25,1.8275516929186126,0.8740337915023486,
pubmed_deepres28_w128,cartesian,W4_C32_T128,128,32,4,64,1.25,1.8233623197963453,0.8703974232869098,
pubmed_deepres28_w128,window_length,4,128,32,4,64,1.25,1.8233623197963453,0.8703974232869098,
pubmed_deepres28_w128,cohort_size,32,128,32,4,64,1.25,1.8233623197963453,0.8703974232869098,
pubmed_deepres28_w128,tile_size,128,128,32,4,64,1.25,1.8233623197963453,0.8703974232869098,
pubmed_deepres28_w128,cartesian,W8_C32_T128,128,32,8,64,1.25,1.8166969713731356,0.8677276239999749,
pubmed_deepres28_w128,window_length,8,128,32,8,64,1.25,1.8166969713731356,0.8677276239999749,
pubmed_gcnii16,cartesian,W1_C16_T64,64,16,1,64,1.25,1.366022611101048,0.9117634063360679,
pubmed_gcnii16,cartesian,W1_C32_T64,64,32,1,64,1.25,1.3375214713243258,0.8829256079060931,
pubmed_gcnii16,cartesian,W1_C64_T64,64,64,1,64,1.25,1.2804945227373645,0.8818651781374729,
pubmed_gcnii16,cartesian,W1_C16_T128,128,16,1,64,1.25,1.3830955539770595,0.9053421660386533,
pubmed_gcnii16,cartesian,W1_C32_T128,128,32,1,64,1.25,1.362322843014454,0.8764130302661967,
pubmed_gcnii16,window_length,1,128,32,1,64,1.25,1.362322843014454,0.8764130302661967,
pubmed_gcnii16,cartesian,W1_C64_T128,128,64,1,64,1.25,1.3266092621957786,0.8700678969615742,
pubmed_gcnii16,cartesian,W1_C16_T256,256,16,1,64,1.25,1.396365668780122,0.9010412831200201,
pubmed_gcnii16,cartesian,W1_C32_T256,256,32,1,64,1.25,1.3785200788695333,0.8697617152895603,
pubmed_gcnii16,cartesian,W1_C64_T256,256,64,1,64,1.25,1.3555030851721914,0.8615255460476899,
pubmed_gcnii16,cartesian,W2_C16_T64,64,16,2,64,1.25,1.387601650532738,0.8794582613010005,
pubmed_gcnii16,cartesian,W2_C32_T64,64,32,2,64,1.25,1.3583021806132458,0.8626461479293734,
pubmed_gcnii16,cartesian,W2_C64_T64,64,64,2,64,1.25,1.3011882830995845,0.8653221676497056,
pubmed_gcnii16,cartesian,W2_C16_T128,128,16,2,64,1.25,1.4027347606958678,0.8748186741616946,
pubmed_gcnii16,cartesian,W2_C32_T128,128,32,2,64,1.25,1.3824341516372802,0.8571152270601499,
pubmed_gcnii16,window_length,2,128,32,2,64,1.25,1.3824341516372802,0.8571152270601499,
pubmed_gcnii16,cartesian,W2_C64_T128,128,64,2,64,1.25,1.3466580633030436,0.8557685954376486,
pubmed_gcnii16,cartesian,W2_C16_T256,256,16,2,64,1.25,1.4153775512562445,0.871964203204503,
pubmed_gcnii16,cartesian,W2_C32_T256,256,32,2,64,1.25,1.3976527231725686,0.8519772623796249,
pubmed_gcnii16,cartesian,W2_C64_T256,256,64,2,64,1.25,1.3742345910811073,0.8492365367735091,
pubmed_gcnii16,cartesian,W4_C16_T64,64,16,4,64,1.25,1.385635533900125,0.8655891273467194,
pubmed_gcnii16,cartesian,W4_C32_T64,64,32,4,64,1.25,1.3577369943866489,0.8546012976542404,
pubmed_gcnii16,tile_size,64,64,32,4,64,1.25,1.3577369943866489,0.8546012976542404,
