config_id,trace_state,window_start,window_end,W,tile_size,cohort_size,grouping_method,num_cohorts,regular_feature_planes,delta_feature_planes,absent_feature_planes,regular_slots,regular_true_nnz,regular_holes,delta_active_nnz,initial_mask_bits,transition_dense_bits,transition_sparse_bytes,flip_count,total_nnz,dense_bytes,independent_bitmap_bytes,phase0_mosaic_bytes,mosaic_delta_bytes,selected_bytes,selected_representation,byte_ratio_to_best_baseline,proxy_cycles_rho1_10,proxy_cycles_rho1_25,proxy_cycles_rho1_50,proxy_cycles_rho1_75,proxy_speedup_rho1_10,proxy_speedup_rho1_25,proxy_speedup_rho1_50,proxy_speedup_rho1_75,rho_delta_max_for_1x,rho_delta_max_for_1_15x,rho_delta_max_for_1_25x,grouping_objective,cluster_iterations,exact_decode_pass
chameleon_gcnii16,trained,12,15,4,128,32,first_layer_rcm_cost_reused,72,3397,1149,62,429884,419953,9931,55568,36472,37792,3705,11777,475521,2331648,2281280,2119680,1983808,1983808,mosaic_delta,0.8696030298779632,499331.832,507667.032,521559.032,522918.912,1.1673840172881267,1.1482171645134522,1.1176337945193517,1.11472732506565,2.6145961704578173,1.2463266628275278,0.5165829254247045,507084.12,0,True
chameleon_gcnii16,trained,12,15,4,128,32,window_cost_cluster,72,3403,1119,86,430616,421034,9582,54487,35520,37640,3619,11640,475521,2331648,2281280,2117312,1981760,1981760,mosaic_delta,0.8687052882592229,498839.732,507012.782,520634.532,522617.912,1.168535628994364,1.149698825541641,1.1196183967297813,1.1153693484581524,2.6536766568172228,1.2582612366252512,0.5140396791895311,506429.87,3,True
chameleon_gcnii16,trained,12,15,4,128,32,window_global_oracle,72,3300,1221,87,417540,405260,12280,70261,38736,36432,3821,11167,475521,2331648,2281280,2154496,1994112,1994112,mosaic_delta,0.8741197923972507,503197.132,513736.282,531301.532,536558.912,1.1584167773038898,1.134652194956322,1.0971396935478817,1.0863895594003292,2.2428499452043096,1.160713340259889,0.583573817622863,513153.37,0,True
chameleon_gcnii16,random_init,4,7,4,128,32,window_cost_cluster,72,3825,783,0,483612,474116,9496,57155,24984,54136,1105,30389,531271,2331648,2345984,2289216,2204160,2289216,phase0_mosaic,0.9818017127799736,553284.912,553284.912,553284.912,553284.912,1.0535476159884873,1.0535476159884873,1.0535476159884873,1.0535476159884873,1.6079062199282654,0.2776289038579312,-0.43185233137958223,562455.87,4,True
chameleon_gcnii16,random_init,8,11,4,128,32,window_cost_cluster,72,3680,928,0,465148,458251,6897,62860,29656,74080,793,40500,521111,2331648,2342656,2249920,2153664,2249920,phase0_mosaic,0.9649483970136145,542658.032,545415.912,545415.912,545415.912,1.074179254016828,1.0687476972619017,1.0687476972619017,1.0687476972619017,1.7496481069042318,0.5401030862233543,-0.10498759147311523,551504.12,5,True
chameleon_gcnii16,random_init,12,15,4,128,32,window_cost_cluster,72,3922,686,0,495916,487780,8136,50618,21912,50816,726,33118,538398,2331648,2355456,2303808,2227968,2303808,phase0_mosaic,0.9880599472990778,555712.912,555712.912,555712.912,555712.912,1.0489444952828448,1.0489444952828448,1.0489444952828448,1.0489444952828448,1.5758797265794777,0.07380536568019397,-0.7273009601327596,566416.62,4,True
cora_gcnii16,trained,4,7,4,128,32,random_balanced_window,85,2989,2448,3,380912,351569,29343,167186,78120,54544,10102,12578,518755,2772992,2488256,2582656,2255872,2255872,mosaic_delta,0.9066076802386893,576390.328,601468.228,643264.728,668793.248,1.2027405151045492,1.1525928847566658,1.077702491407239,1.0365654887712024,1.803114614860096,1.262258010994264,0.9738011555991531,600774.98,0,True
cora_gcnii16,trained,4,7,4,128,32,rcm_contiguous_window,85,3124,2300,16,398192,376512,21680,142243,73384,54864,9100,12983,518755,2772992,2488256,2510336,2223232,2223232,mosaic_delta,0.8934900589006919,566002.028,587338.478,622899.228,647725.248,1.2248153994246818,1.1803211026811018,1.1129376451884123,1.0702809596207064,1.9994412378816533,1.3637428051017415,1.0247036409524546,586645.23,0,True
cora_gcnii16,trained,4,7,4,128,32,first_layer_rcm_cost_reused,85,3437,1902,101,438256,423664,14592,95091,60648,56720,7066,13820,518755,2772992,2488256,2399168,2191936,2191936,mosaic_delta,0.8809125749119062,553674.828,567938.478,591711.228,605229.248,1.2520850956944714,1.2206392538172066,1.1715985217032252,1.1454304336594123,2.5750756643636095,1.6241586251704896,1.1170028709341582,567245.23,0,True
cora_gcnii16,trained,4,7,4,128,32,window_cost_cluster,85,3425,1909,106,436720,423492,13228,95263,60872,58544,6951,13974,518755,2772992,2488256,2395840,2185664,2185664,mosaic_delta,0.8783919339489185,552347.028,566636.478,590452.228,605201.248,1.2550950124782783,1.2234440014290784,1.1740966789950025,1.1454834276878425,2.5863506293104352,1.6371504973188649,1.1309104269233599,565943.23,3,True
