config_id,policy,rebase_cost_fraction,number_of_rebases,mean_layers_per_segment,total_proxy_cost,ratio_to_offline_dp,ratio_to_rebuild_every_layer,ratio_to_never_rebuild
chameleon_gcnii16,greedy_rebase,0.005,6,1.8571428571428572,1440010.8040000002,1.0003257008258457,1.004949226144794,0.9613949994218123
chameleon_gcnii16,offline_dp_rebase,0.005,7,1.625,1439541.944,1.0,1.0046220199232423,0.9610819742291004
chameleon_gcnii16,greedy_rebase,0.01,4,2.6,1445785.5840000003,1.0011681611966117,1.0089793074997646,0.965250418144602
chameleon_gcnii16,offline_dp_rebase,0.01,6,1.8571428571428572,1444098.644,1.0,1.0078020322717984,0.9641241657055093
chameleon_gcnii16,greedy_rebase,0.02,3,3.25,1454777.8939999999,1.0028680476637915,1.0152548263713255,0.9712539577314135
chameleon_gcnii16,offline_dp_rebase,0.02,4,2.6,1450617.454,1.0,1.0123513544343041,0.968476321480155
cora_gcnii16,greedy_rebase,0.005,3,3.25,1892577.4859999998,1.0014288971897483,1.0020572067254991,0.9937699241596242
cora_gcnii16,offline_dp_rebase,0.005,4,2.6,1889877.0460000006,1.0,1.0006274130270398,0.9923519552395411
cora_gcnii16,greedy_rebase,0.01,3,3.25,1895177.166,1.001414530919518,1.003433651335271,0.9951349852023292
cora_gcnii16,offline_dp_rebase,0.01,3,3.25,1892500.1660000002,1.0,1.0020162683418417,0.9937293243474082
cora_gcnii16,greedy_rebase,0.02,3,3.25,1900376.5259999998,1.0014106553557731,1.0061865405548147,0.9978651072877394
cora_gcnii16,offline_dp_rebase,0.02,3,3.25,1897699.5259999998,1.0,1.004769157561385,0.9964594464328181
cora_resgcn16,greedy_rebase,0.005,12,1.0,849788.7760000003,0.9999999999999999,1.012388424101131,0.8958110168239118
cora_resgcn16,offline_dp_rebase,0.005,12,1.0,849788.7760000004,1.0,1.012388424101131,0.895811016823912
cora_resgcn16,greedy_rebase,0.01,12,1.0,860187.4960000003,1.0,1.0247768482022617,0.906772903118427
cora_resgcn16,offline_dp_rebase,0.01,12,1.0,860187.4960000003,1.0,1.0247768482022617,0.906772903118427
cora_resgcn16,greedy_rebase,0.02,12,1.0,880984.9360000003,1.0000000000000002,1.0495536964045236,0.9286966757074572
cora_resgcn16,offline_dp_rebase,0.02,12,1.0,880984.9360000002,1.0,1.0495536964045233,0.928696675707457
pubmed_gcnii16,greedy_rebase,0.005,3,3.25,11799037.614,1.000856204772577,1.0003946853497954,0.9917570967206316
pubmed_gcnii16,offline_dp_rebase,0.005,3,3.25,11788943.864,1.0,0.9995388753943064,0.990908675983067
pubmed_gcnii16,greedy_rebase,0.01,3,3.25,11817965.934,1.0008548322545088,1.0019995442671135,0.9933480989958279
pubmed_gcnii16,offline_dp_rebase,0.01,3,3.25,11807872.184,1.0,1.0011437343116245,0.9924996782582631
pubmed_gcnii16,greedy_rebase,0.02,3,3.25,11855822.574,1.0008521003772726,1.0052092621017497,0.9965301035462201
pubmed_gcnii16,offline_dp_rebase,0.02,3,3.25,11845728.824,1.0,1.0043534521462607,0.9956816828086553
cora_deepres28_w128,greedy_rebase,0.005,7,3.125,4337951.44,1.0009257466967156,1.0013236501928773,0.9661091529377265
cora_deepres28_w128,offline_dp_rebase,0.005,8,2.7777777777777777,4333939.310000001,1.0,1.0003975354790051,0.9652156077772083
cora_deepres28_w128,greedy_rebase,0.01,6,3.5714285714285716,4351119.540000001,1.0012301031434954,1.0043632254717803,0.9690418325937256
cora_deepres28_w128,offline_dp_rebase,0.01,6,3.5714285714285716,4345773.790000002,1.0,1.003129272999731,0.9678512756970545
cora_deepres28_w128,greedy_rebase,0.02,6,3.5714285714285716,4371916.98,1.0012242443139994,1.00916387131199,0.9736736495745243
cora_deepres28_w128,offline_dp_rebase,0.02,6,3.5714285714285716,4366571.2299999995,1.0,1.0079299188399402,0.9724830926778529
pubmed_deepres28_w128,greedy_rebase,0.005,9,2.5,28927831.570000004,1.0002164214977924,1.0053551571833788,0.9614480268649581
pubmed_deepres28_w128,offline_dp_rebase,0.005,9,2.5,28921572.32,1.0,1.0051376237933498,0.9612399938657478
pubmed_deepres28_w128,greedy_rebase,0.01,7,3.125,29057047.970000003,1.0009642231760116,1.0098459318831108,0.9657426748242414
pubmed_deepres28_w128,offline_dp_rebase,0.01,8,2.7777777777777777,29029057.48000001,1.0,1.0088731530073252,0.964812380366589
pubmed_deepres28_w128,greedy_rebase,0.02,6,3.5714285714285716,29238603.770000007,1.0010619329735553,1.0161557052031356,0.971776879816534
pubmed_deepres28_w128,offline_dp_rebase,0.02,6,3.5714285714285716,29207587.27,1.0,1.0150777606583699,0.970746012616789
