config_id,window_start,W,grouping_method,fraction_absent,fraction_regular,fraction_delta,regular_occupancy_mean,delta_occupancy_mean,regular_capture,padding_fraction,delta_fraction,metadata_bits_per_nnz,flips_per_node_feature
chameleon_gcnii16,4,4,random_balanced_window,0.016059027777777776,0.30859375,0.6753472222222222,0.9313368055555556,0.4267542978791774,0.49566611433801316,0.06795122719398888,0.5043338856619868,1.0089549024651405,0.07422732762406675
chameleon_gcnii16,4,4,rcm_contiguous_window,0.026041666666666668,0.3444010416666667,0.6295572916666666,0.9342342076244486,0.40096841606342637,0.5614909284505087,0.06490336720462243,0.43850907154949126,0.9336547606941396,0.0733718525838091
chameleon_gcnii16,4,4,first_layer_rcm_cost_reused,0.057074652777777776,0.4118923611111111,0.5310329861111112,0.9574385861195203,0.3392238939599783,0.6864198934025638,0.0424774699599466,0.3135801065974362,0.799229531437869,0.07288921826965306
chameleon_gcnii16,4,4,window_cost_cluster,0.05164930555555555,0.41015625,0.5381944444444444,0.9619679548008352,0.3343952708625526,0.6868027349241196,0.03792944528238646,0.31319726507588036,0.8078673932679711,0.07333982945395989
chameleon_gcnii16,4,4,window_global_oracle,0.07356770833333333,0.400390625,0.5260416666666666,0.9510010162601625,0.3646284550330033,0.6662250031404968,0.04896761963315913,0.3337749968595031,0.7925058772155458,0.07270851632264676
chameleon_gcnii16,8,4,random_balanced_window,0.0015190972222222222,0.4958767361111111,0.5026041666666666,0.9215843818380745,0.4996012791450777,0.643931440320637,0.07768177145556081,0.356068559679363,0.6171050047402098,0.05274438222807788
chameleon_gcnii16,8,4,rcm_contiguous_window,0.003689236111111111,0.5180121527777778,0.4782986111111111,0.9315105257645581,0.4710909142468239,0.6822919823775728,0.06746841819218176,0.3177080176224271,0.585933578870545,0.05480758673693456
chameleon_gcnii16,8,4,first_layer_rcm_cost_reused,0.019748263888888888,0.5818142361111112,0.3984375,0.9619794148622974,0.373083193410679,0.7899977935596187,0.038045018659360386,0.21000220644038126,0.4917016019727032,0.05690510174205826
chameleon_gcnii16,8,4,window_cost_cluster,0.015407986111111112,0.5783420138888888,0.40625,0.9659163283490309,0.3685420083504845,0.7885236004257703,0.03406795770464536,0.21147639957422976,0.5003721852731016,0.057179585712194406
chameleon_gcnii16,8,4,window_global_oracle,0.04513888888888889,0.5779079861111112,0.376953125,0.9559894855426212,0.4095576065054692,0.7823673892960971,0.04398310006044158,0.21763261070390297,0.4602974087661149,0.05477098887424974
chameleon_gcnii16,12,4,random_balanced_window,0.00043402777777777775,0.6566840277777778,0.3428819444444444,0.9294396480502314,0.6044867484177215,0.7433194327905602,0.07163943898723539,0.25668056720943977,0.3388115351372495,0.022443639291465377
chameleon_gcnii16,12,4,rcm_contiguous_window,0.00021701388888888888,0.6779513888888888,0.3218315972222222,0.936083046574904,0.5624093897505057,0.7766491910977643,0.062238461850979115,0.22335080890223566,0.321651409716921,0.023543862538427756
chameleon_gcnii16,12,4,first_layer_rcm_cost_reused,0.013454861111111112,0.7371961805555556,0.24934895833333334,0.9770078350290391,0.38495160198194733,0.8831429106180378,0.023101580891589358,0.1168570893819621,0.2571663501717064,0.026938314302444737
chameleon_gcnii16,12,4,window_cost_cluster,0.018663194444444444,0.7384982638888888,0.24283854166666666,0.9778441837543501,0.38752581120117396,0.885416206644922,0.022251843870176678,0.1145837933550779,0.25238843289781104,0.026624945103205972
chameleon_gcnii16,12,4,window_global_oracle,0.018880208333333332,0.7161458333333334,0.2649739583333333,0.970876893939394,0.4536727067977068,0.8522441700787137,0.02941035589404608,0.14775582992128633,0.2634415725067873,0.025543020787586006
cora_gcnii16,4,4,random_balanced_window,0.0005514705882352941,0.5494485294117647,0.45,0.9232419914687187,0.5347049887663399,0.6777168412834575,0.07703354055529886,0.3222831587165425,0.4870275949147478,0.024191438946331856
cora_gcnii16,4,4,rcm_contiguous_window,0.0029411764705882353,0.5742647058823529,0.4227941176470588,0.9457226312419974,0.4843872282608696,0.7257992694046322,0.05444609635552698,0.27420073059536776,0.45849774941928273,0.024970380969965535
cora_gcnii16,4,4,first_layer_rcm_cost_reused,0.018566176470588235,0.6318014705882353,0.34963235294117645,0.9667769857433809,0.39206920347003155,0.8166938149993735,0.033295608046438614,0.1833061850006265,0.3938815047565807,0.026580194485475134
cora_gcnii16,4,4,window_cost_cluster,0.01948529411764706,0.6295955882352942,0.3509191176470588,0.969771897810219,0.3913354504976428,0.8163622519301019,0.030289430298589486,0.18363774806989813,0.39627184316295744,0.026876384785819794
cora_gcnii16,4,4,window_global_oracle,0.02077205882352941,0.6167279411764706,0.3625,0.9656073025335321,0.4206468686612576,0.7961484708581122,0.034491303534692354,0.20385152914188778,0.3996491600080963,0.02584164204825209
cora_gcnii16,8,4,random_balanced_window,0.0022058823529411764,0.6125,0.38529411764705884,0.9305395595738296,0.539962279341603,0.7319676989183582,0.06970547248691199,0.2680323010816417,0.38635353385686766,0.01916005046774988
cora_gcnii16,8,4,rcm_contiguous_window,0.0027573529411764708,0.6292279411764706,0.36801470588235297,0.951224711510371,0.4876506306193806,0.7688287153652393,0.04893416180945049,0.2311712846347607,0.37238109349533266,0.020114014032496307
cora_gcnii16,8,4,first_layer_rcm_cost_reused,0.019301470588235295,0.6761029411764706,0.3045955882352941,0.9696429785209354,0.40191422751961375,0.8423933175285228,0.03043887922507589,0.15760668247147724,0.3202548525707512,0.021419943993106844
cora_gcnii16,8,4,window_cost_cluster,0.01636029411764706,0.6709558823529411,0.31268382352941176,0.9733056506849316,0.39961970899470894,0.8391261668395318,0.026763619178553015,0.16087383316046822,0.3279448807230701,0.021616121984244216
cora_gcnii16,8,4,window_global_oracle,0.017279411764705883,0.6525735294117647,0.3301470588235294,0.959106073943662,0.46108626809576836,0.8059805156319455,0.040912176458142324,0.19401948436805452,0.3275596384649578,0.01959856597735106
cora_gcnii16,12,4,random_balanced_window,0.002022058823529412,0.6755514705882353,0.3224264705882353,0.9381892006802721,0.5610470709806158,0.7774846148404895,0.062015702338282984,0.2225153851595105,0.29856405177901957,0.01363629369768587
cora_gcnii16,12,4,rcm_contiguous_window,0.0023897058823529414,0.6816176470588236,0.3159926470588235,0.9573877427184466,0.5130471931355439,0.8006065643347244,0.04274713285293819,0.1993934356652755,0.29710688264836954,0.015144171590349581
cora_gcnii16,12,4,first_layer_rcm_cost_reused,0.02022058823529412,0.7284926470588236,0.25128676470588235,0.9727029712339137,0.42216532553035846,0.8696063521256278,0.027372306085635623,0.13039364787437221,0.24967107590012025,0.0162000707779419
cora_gcnii16,12,4,window_cost_cluster,0.01875,0.7227941176470588,0.2584558823529412,0.9761913466429298,0.42214615931721194,0.8658856192968806,0.02387284297151606,0.13411438070311948,0.254636768762821,0.016252000246184145
cora_gcnii16,12,4,window_global_oracle,0.02886029411764706,0.728125,0.24301470588235294,0.9754899330977026,0.4314261062783661,0.8721846926504916,0.02427236325652064,0.12781530734950838,0.23545306642144725,0.01548844473165928
cora_resgcn16,4,4,random_balanced_window,0.0880514705882353,0.17647058823529413,0.7354779411764706,0.9225537109374999,0.2966473225443639,0.42755012350917604,0.07765300117693213,0.5724498764908239,1.8402109506417932,0.18240321885770555
cora_resgcn16,4,4,rcm_contiguous_window,0.10551470588235294,0.17794117647058824,0.7165441176470588,0.9327414772727273,0.30006253206772704,0.43591161895524877,0.06741991959538322,0.5640883810447512,1.7658326640095776,0.1840341888232398
cora_resgcn16,4,4,first_layer_rcm_cost_reused,0.17481617647058822,0.19025735294117646,0.6349264705882353,0.9614236111111111,0.3119467465257672,0.48061360571021566,0.03861252576694556,0.5193863942897844,1.5129949838604573,0.18768848473658298
cora_resgcn16,4,4,window_cost_cluster,0.16727941176470587,0.19301470588235295,0.6397058823529411,0.9613571428571428,0.30549209770114943,0.48757330989437314,0.03867873789888849,0.5124266901056269,1.5284222649915893,0.18767886816838997
cora_resgcn16,4,4,window_global_oracle,0.20974264705882353,0.1963235294117647,0.5939338235294118,0.9660960908239701,0.3216472260909935,0.4981511509842848,0.03375955320399765,0.5018488490157152,1.390486004819131,0.18855397587395373
cora_resgcn16,8,4,random_balanced_window,0.08014705882352942,0.12996323529411766,0.789889705882353,0.9128513967468175,0.28438409064463577,0.3450357039284829,0.0875200071136404,0.6549642960715172,2.2273871617163103,0.2180806868537666
cora_resgcn16,8,4,rcm_contiguous_window,0.09797794117647059,0.13345588235294117,0.7685661764705882,0.9277010158402204,0.28554734214302796,0.3601662680883793,0.07257575757575757,0.6398337319116207,2.1256089001340737,0.21882500923190545
cora_resgcn16,8,4,first_layer_rcm_cost_reused,0.18088235294117647,0.15220588235294116,0.6669117647058823,0.9537609450483091,0.2970425337651598,0.42268071567568477,0.046351084812623275,0.5773192843243152,1.7939805572250545,0.220377123338257
cora_resgcn16,8,4,window_cost_cluster,0.17408088235294117,0.15349264705882354,0.6724264705882353,0.9593600299401197,0.2915032121377802,0.4287875794879985,0.04072325861290808,0.5712124205120015,1.807665311920783,0.2211541420482521
cora_resgcn16,8,4,window_global_oracle,0.23253676470588236,0.15753676470588235,0.6099264705882353,0.9671218640606767,0.31335424201326095,0.44353147367491985,0.03290872434017595,0.5564685263250801,1.5959382841099656,0.22256393094534713
cora_resgcn16,12,4,random_balanced_window,0.07794117647058824,0.07867647058823529,0.8433823529411765,0.9001606308411215,0.2747159710113339,0.2329680709470902,0.10071081319976428,0.7670319290529097,2.5719560540213053,0.20844103889709503
cora_resgcn16,12,4,rcm_contiguous_window,0.10091911764705883,0.08878676470588236,0.8102941176470588,0.9138263457556937,0.2732049682395644,0.26722990540069935,0.08683815858111633,0.7327700945993006,2.437885517195319,0.20813138540128015
cora_resgcn16,12,4,first_layer_rcm_cost_reused,0.19852941176470587,0.10919117647058824,0.6922794117647059,0.9573258627946127,0.2859835535050451,0.3449463555655206,0.04293731469716222,0.6550536444344793,2.0217821687712587,0.20968926944854752
cora_resgcn16,12,4,window_cost_cluster,0.19852941176470587,0.10919117647058824,0.6922794117647059,0.9573258627946127,0.2859835535050451,0.3449463555655206,0.04293731469716222,0.6550536444344793,2.0217821687712587,0.20968926944854752
cora_resgcn16,12,4,window_global_oracle,0.25036764705882353,0.12022058823529412,0.6294117647058823,0.9740538990825688,0.2943094699182243,0.38738485170855974,0.026050662061024757,0.6126151482914403,1.7984839305222282,0.21067785265878877
pubmed_gcnii16,4,4,random_balanced_window,0.008053079416531604,0.3810271474878444,0.610919773095624,0.9328746012229164,0.44971902980434425,0.5634138503730078,0.06729143590042558,0.43658614962699216,0.7149072967165373,0.024989539483694274
pubmed_gcnii16,4,4,rcm_contiguous_window,0.02119631280388979,0.44117200162074555,0.5376316855753647,0.9536227828482865,0.38963686410739523,0.6671316032577423,0.046476260327458635,0.33286839674225766,0.6341818950169823,0.024815725854169836
pubmed_gcnii16,4,4,first_layer_rcm_cost_reused,0.06791936790923825,0.5301863857374393,0.40189424635332255,0.9755747426681315,0.2810598810649024,0.820535838373116,0.024468646637677866,0.17946416162688397,0.5012058375744648,0.025566716961674358
pubmed_gcnii16,4,4,window_cost_cluster,0.06708367098865478,0.5306422204213939,0.4022741085899514,0.9784047049489357,0.27595599228832235,0.8236291969278969,0.02163362416708997,0.17637080307210312,0.5016737088419494,0.02559101917127352
pubmed_gcnii16,4,4,window_global_oracle,0.24149108589951376,0.5846333063209076,0.1738756077795786,0.9880890339383176,0.3002475968540635,0.9170562973648911,0.011924040100712522,0.08294370263510883,0.23156106128799175,0.024999313198424373
pubmed_gcnii16,8,4,random_balanced_window,0.0048875607779578605,0.43651235818476497,0.5586000810372771,0.9372838951093577,0.4671811247619911,0.6100304925649238,0.06285273520828867,0.38996950743507613,0.5864649915075013,0.016203762404693074
pubmed_gcnii16,8,4,rcm_contiguous_window,0.01529578606158833,0.4863756077795786,0.49832860615883307,0.960367691086119,0.4073697466714097,0.6966628501677209,0.03970816010434499,0.30333714983227905,0.531206975676916,0.016640673868573652
pubmed_gcnii16,8,4,first_layer_rcm_cost_reused,0.06196819286871961,0.5733640599675851,0.3646677471636953,0.9780570232101057,0.29978157552083334,0.8366823308715338,0.021976924246823456,0.16331766912846618,0.4109706996967303,0.017004678703656743
pubmed_gcnii16,8,4,window_cost_cluster,0.05700465964343598,0.5723510940032415,0.37064424635332255,0.9796971096411664,0.29508809613282316,0.8366045618201862,0.02033407664926107,0.16339543817981386,0.4154747992789656,0.01693018714814627
pubmed_gcnii16,8,4,window_global_oracle,0.21426762560777957,0.6247974068071313,0.16093496758508913,0.9896903625567445,0.3209451219512195,0.9229039614312817,0.01030699000630393,0.07709603856871827,0.1977001651187767,0.01687682794880898
pubmed_gcnii16,12,4,random_balanced_window,0.0029882495948136143,0.49691045380875204,0.5001012965964343,0.941921695036184,0.4842659699716427,0.6585176062782632,0.05820379648442924,0.3414823937217369,0.49072366981978566,0.012647715169650556
pubmed_gcnii16,12,4,rcm_contiguous_window,0.011142625607779578,0.5353778363047001,0.4534795380875203,0.9637336809990067,0.42840107918691017,0.7260823687229645,0.03633828789797596,0.2739176312770355,0.4516943364388356,0.013166778668154385
pubmed_gcnii16,12,4,first_layer_rcm_cost_reused,0.0675395056726094,0.6227208265802269,0.3097396677471637,0.9790233580723872,0.3247066879241272,0.8582148309681221,0.021011695690532056,0.1417851690318779,0.32911330247175363,0.013195043194536018
pubmed_gcnii16,12,4,window_cost_cluster,0.05862540518638574,0.6202137358184765,0.32116085899513774,0.980650608897146,0.3176595026415392,0.8561767056082067,0.019381722663564842,0.14382329439179325,0.33945431251143915,0.0133625171172085
pubmed_gcnii16,12,4,window_global_oracle,0.17271069692058347,0.6663543354943274,0.16093496758508913,0.9889486660586022,0.31644694138473645,0.9282777966260586,0.01104930499327643,0.07172220337394146,0.18108262540678807,0.012814660783418709
cora_deepres28_w128,4,4,random_balanced_window,0.043198529411764705,0.19439338235294118,0.7624080882352942,0.9032025709219859,0.40587232519590116,0.36023885407128164,0.09748167679656775,0.6397611459287184,1.411123928218911,0.07161458333333333
cora_deepres28_w128,4,4,rcm_contiguous_window,0.05909926470588235,0.24494485294117646,0.6959558823529411,0.913109756097561,0.3755344525884839,0.4597836815754736,0.0873678122934567,0.5402163184245264,1.2781576662821534,0.07024518402264894
cora_deepres28_w128,4,4,first_layer_rcm_cost_reused,0.1333639705882353,0.32362132352941175,0.5430147058823529,0.9435485302470888,0.3308649289099526,0.6288991425751287,0.05666250445950767,0.37110085742487126,1.02013343005625,0.06931141525110783
cora_deepres28_w128,4,4,window_cost_cluster,0.14080882352941176,0.32674632352941174,0.5324448529411765,0.947485935302391,0.32947900483341963,0.637666638918289,0.05270387251784326,0.36233336108171105,1.0025211383177348,0.06900753169620877
cora_deepres28_w128,4,4,window_global_oracle,0.12748161764705881,0.3322610294117647,0.5402573529411765,0.9438096473029045,0.31786454789043894,0.6469038756555554,0.05599229487713453,0.3530961243444446,0.9977404892435395,0.06877865737321516
cora_deepres28_w128,8,4,random_balanced_window,0.06608455882352941,0.19669117647058823,0.7372242647058823,0.9003665303738317,0.4025339733200349,0.37181839481267137,0.1002223727615457,0.6281816051873287,1.2286374133949192,0.04093003754308223
cora_deepres28_w128,8,4,rcm_contiguous_window,0.08713235294117647,0.24347426470588235,0.6693933823529412,0.9163316345790865,0.3745910854043663,0.46929988711292053,0.08403411250475104,0.5307001128870794,1.1149226982141933,0.04049344534711965
cora_deepres28_w128,8,4,first_layer_rcm_cost_reused,0.1782169117647059,0.3350183823529412,0.48676470588235293,0.9514347565157751,0.31864231259441084,0.671947408617757,0.04865634477529639,0.32805259138224296,0.8499332110136407,0.04029053575824717
cora_deepres28_w128,8,4,window_cost_cluster,0.18051470588235294,0.3339154411764706,0.4855698529411765,0.9541838700798239,0.31969702347151235,0.6716689943921593,0.04589384508990318,0.3283310056078406,0.8479614905962933,0.0403280403741999
cora_deepres28_w128,8,4,window_global_oracle,0.22068014705882352,0.3524816176470588,0.42683823529411763,0.9603996903520209,0.31777192344961236,0.7131603209522679,0.039717788193647775,0.28683967904773205,0.7531728571993659,0.04003858167159035
cora_deepres28_w128,12,4,random_balanced_window,0.08483455882352942,0.17674632352941178,0.7384191176470588,0.8982701183047321,0.4051505710107045,0.3446738690563358,0.10249376763104376,0.6553261309436642,1.2326888344064484,0.03511970704086657
cora_deepres28_w128,12,4,rcm_contiguous_window,0.10477941176470588,0.23143382352941178,0.6637867647058824,0.9131527998411437,0.37150849833841043,0.4599514696874503,0.08732440133979903,0.5400485303125497,1.1079775834675711,0.034461933776464795
cora_deepres28_w128,12,4,first_layer_rcm_cost_reused,0.19972426470588237,0.32270220588235293,0.47757352941176473,0.9507414198234121,0.31645496535796763,0.6693120568380974,0.04941049128707911,0.3306879431619026,0.8349859148719742,0.03384358844165436
