config_id,model_valid,segment_start,segment_end,W,method,panel_builder,panel_width,number_of_panels,topology_tile_rows,rho_residual,escape_enabled,total_nnz,dense_panel_slots,dense_panel_true_nnz,dense_panel_holes,residual_nnz,panel_feature_metadata_bits,row_list_metadata_bits,residual_metadata_bits,descriptor_bits,dense_value_bytes,residual_value_bytes,total_transfer_bytes,byte_ratio_to_dense,byte_ratio_to_R0,byte_ratio_to_phase0,byte_ratio_to_phase2_anchor,regular_scalesim_cycles,residual_cycles,gather_cycles,decoder_cycles,output_init_cycles,output_add_cycles,weight_pack_cycles,total_hybrid_cycles,hybrid_speedup_vs_dense,independently_decodable,deployable,exact_decode_pass,numeric_equivalence_pass
cora_gcnii16,True,4,16,13,MOSAIC_PANEL_ESCAPE,P1_DENSITY_SORTED,16,4,128,1.5,True,1769413,2170480,1746909,423571,22504,1024,10948,118262,4120,8681920,98496,8797312,0.9761532780365868,0.8552638128422101,0.7770564670160853,0.6071561309468793,1032928.0,33756.0,67834.0,2939.0,70408,211148,128,1412459.0,0.48270286075560426,True,True,True,True
cora_gcnii16,True,4,16,13,MOSAIC_PANEL_ESCAPE,P2_CORRELATION,16,4,128,1.5,True,1769413,2080496,1726269,354227,43144,1024,10828,213632,4120,8275520,194432,8498816,0.9430320418134303,0.8262444001991041,0.7506906580987213,0.5865551023073221,1000554.0,64716.0,65074.0,4312.0,70408,211224,128,1400713.0,0.4867506762627319,True,True,True,True
cora_gcnii16,True,4,16,13,MOSAIC_PANEL_NO_ESCAPE,P3_COST_AWARE,16,4,128,1.5,False,1769413,2090192,1733392,356800,36021,1024,10828,193399,2976,8360768,163520,8550400,0.9487558232019089,0.8312593330014932,0.7552470135848696,0.590115228611671,1007019.0,54031.5,65338.0,4008.0,70408,207368,128,1395361.5,0.4886174657964979,True,True,True,True
cora_gcnii16,True,4,16,13,MOSAIC_PANEL_ESCAPE,P3_COST_AWARE,16,4,128,1.5,True,1769413,2078256,1729030,349226,40383,1024,10828,202517,4120,8264896,180992,8473344,0.9402056584479036,0.823768043802887,0.7484407455881915,0.584797124305919,999545.0,60574.5,64965.0,4155.0,70408,207366,128,1395124.5,0.4887004708181958,True,True,True,True
cora_gcnii16,True,4,16,13,MOSAIC_PANEL_ESCAPE,P4_FIXED_BSR,16,4,128,1.5,True,1769413,0,0,0,1769413,1024,868,2255344,4120,0,7111616,7394368,0.8204820474946029,0.7188713290194126,0.6531360344951727,0.5103304129349299,0.0,2654119.5,0.0,36436.0,70408,211224,128,2693547.5,0.2531226941422047,True,True,True,True
cora_gcnii16,True,4,16,13,MOSAIC_PANEL_ESCAPE,P0_CONTIGUOUS,32,2,128,1.5,True,1769413,2244736,1764529,480207,4884,1024,5489,16692,2076,8978944,20032,9002240,0.9988921713441654,0.8751866600298656,0.7951575219374831,0.6212994615008804,674635.0,7326.0,70148.0,830.0,70408,70408,128,896709.0,0.7603336199369026,True,True,True,True
cora_gcnii16,True,4,16,13,MOSAIC_PANEL_ESCAPE,P1_DENSITY_SORTED,32,2,128,1.5,True,1769413,2244736,1765520,479216,3893,1024,5489,16692,2076,8978944,16000,8998208,0.998444779002386,0.8747946739671478,0.7948013800074244,0.621021188601161,674635.0,5839.5,70148.0,830.0,70408,70408,128,895222.5,0.7615961395072175,True,True,True,True
cora_gcnii16,True,4,16,13,MOSAIC_PANEL_ESCAPE,P2_CORRELATION,32,2,128,1.5,True,1769413,2244736,1765072,479664,4341,1024,5489,16692,2076,8978944,17792,9000000,0.9986436200431769,0.8749688899950224,0.7949596653096728,0.6211448654454808,674635.0,6511.5,70148.0,830.0,70408,70408,128,895894.5,0.7610248751387579,True,True,True,True
cora_gcnii16,True,4,16,13,MOSAIC_PANEL_NO_ESCAPE,P3_COST_AWARE,32,2,128,1.5,False,1769413,2244736,1765072,479664,4341,1024,5489,16692,1504,8978944,17792,8999872,0.9986294171116918,0.8749564459930314,0.794948359216655,0.6211360313851721,674635.0,6511.5,70148.0,830.0,70408,70408,128,895894.5,0.7610248751387579,True,True,True,True
cora_gcnii16,True,4,16,13,MOSAIC_PANEL_ESCAPE,P3_COST_AWARE,32,2,128,1.5,True,1769413,2244736,1765072,479664,4341,1024,5489,16692,2076,8978944,17792,9000000,0.9986436200431769,0.8749688899950224,0.7949596653096728,0.6211448654454808,674635.0,6511.5,70148.0,830.0,70408,70408,128,895894.5,0.7610248751387579,True,True,True,True
