config_id,parameter,value,hybrid_speedup,byte_ratio,padding_fraction,residual_fraction,peak_live_bytes
cora_gcnii16,rho_residual,1.25,0.7613653574690457,0.8749564459930314,0.21368392541483716,0.0024533559999841757,68697
cora_gcnii16,rho_residual,1.5,0.7610248751387579,0.8749564459930314,0.21368392541483716,0.0024533559999841757,68697
cora_gcnii16,rho_residual,1.75,0.7607371202243677,0.8749564459930314,0.21368392541483716,0.0024533559999841757,68697
cora_gcnii16,rho_residual,2.0,0.7604879435282329,0.8749564459930314,0.21368392541483716,0.0024533559999841757,68697
cora_gcnii16,array_size,16.0,0.8865051524772608,0.8749564459930314,0.21368392541483716,0.0024533559999841757,68697
cora_gcnii16,array_size,32.0,0.7610248751387579,0.8749564459930314,0.21368392541483716,0.0024533559999841757,68697
cora_gcnii16,array_size,64.0,0.5515645555501961,0.8749564459930314,0.21368392541483716,0.0024533559999841757,68697
pubmed_gcnii16,rho_residual,1.25,0.8081121853875242,0.854293883223735,0.24409669880730667,0.026487490290539255,69709
pubmed_gcnii16,rho_residual,1.5,0.8042190253904296,0.854293883223735,0.24409669880730667,0.026487490290539255,69709
pubmed_gcnii16,rho_residual,1.75,0.8009420417495684,0.854293883223735,0.24409669880730667,0.026487490290539255,69709
pubmed_gcnii16,rho_residual,2.0,0.7981141845470651,0.854293883223735,0.24409669880730667,0.026487490290539255,69709
pubmed_gcnii16,array_size,16.0,0.9691015866008498,0.854293883223735,0.24409669880730667,0.026487490290539255,69709
pubmed_gcnii16,array_size,32.0,0.8042190253904296,0.854293883223735,0.24409669880730667,0.026487490290539255,69709
pubmed_gcnii16,array_size,64.0,0.573922678921539,0.854293883223735,0.24409669880730667,0.026487490290539255,69709
cora_deepres28_w128,rho_residual,1.25,0.9630789406665675,1.0182813363768703,0.3429451111157208,0.20409022737444937,106313
cora_deepres28_w128,rho_residual,1.5,0.9279012673185265,1.0182813363768703,0.3429451111157208,0.20409022737444937,106313
cora_deepres28_w128,rho_residual,1.75,0.8991633203254956,1.0182813363768703,0.3429451111157208,0.20409022737444937,106313
cora_deepres28_w128,rho_residual,2.0,0.8749898047470749,1.0182813363768703,0.3429451111157208,0.20409022737444937,106313
cora_deepres28_w128,array_size,16.0,1.3624978908818108,1.0182813363768703,0.3429451111157208,0.20409022737444937,106313
cora_deepres28_w128,array_size,32.0,0.97909077146648,1.0182813363768703,0.3429451111157208,0.20409022737444937,106313
cora_deepres28_w128,array_size,64.0,0.5230233260030771,1.0182813363768703,0.3429451111157208,0.20409022737444937,106313
chameleon_gcnii16,rho_residual,1.25,0.7896894584012509,0.8544938550710696,0.2153399895965784,0.027455996083897715,68649
chameleon_gcnii16,rho_residual,1.5,0.7857462927792259,0.8544938550710696,0.2153399895965784,0.027455996083897715,68649
chameleon_gcnii16,rho_residual,1.75,0.7824277588064594,0.8544938550710696,0.2153399895965784,0.027455996083897715,68649
chameleon_gcnii16,rho_residual,2.0,0.7795644449012943,0.8544938550710696,0.2153399895965784,0.027455996083897715,68649
chameleon_gcnii16,array_size,16.0,0.9532783986048027,0.8544938550710696,0.2153399895965784,0.027455996083897715,68649
chameleon_gcnii16,array_size,32.0,0.7857462927792259,0.8544938550710696,0.2153399895965784,0.027455996083897715,68649
chameleon_gcnii16,array_size,64.0,0.5587131540832923,0.8544938550710696,0.2153399895965784,0.027455996083897715,68649
cora_resgcn16,rho_residual,1.25,0.8954662340345283,0.8371929621929622,0.5232315878002669,0.2860956549002874,63729
cora_resgcn16,rho_residual,1.5,0.8499547470697792,0.8371929621929622,0.5232315878002669,0.2860956549002874,63729
cora_resgcn16,rho_residual,1.75,0.8132847299921644,0.8371929621929622,0.5232315878002669,0.2860956549002874,63729
cora_resgcn16,rho_residual,2.0,0.7828010042411502,0.8371929621929622,0.5232315878002669,0.2860956549002874,63729
pubmed_deepres28_w128,rho_residual,1.25,1.0807560640641434,0.917104425843684,0.26102798557498896,0.17530259109281687,107021
pubmed_deepres28_w128,rho_residual,1.5,1.046759722565207,0.917104425843684,0.26102798557498896,0.17530259109281687,107021
pubmed_deepres28_w128,rho_residual,1.75,1.0188518954216577,0.917104425843684,0.26102798557498896,0.17530259109281687,107021
pubmed_deepres28_w128,rho_residual,2.0,0.9952791797638678,0.917104425843684,0.26102798557498896,0.17530259109281687,107021
