config_id,control_type,density,panel_builder,panel_width,dense_nnz_capture,padding_fraction,residual_fraction,total_transfer_byte_ratio,hybrid_speedup_vs_dense,speedup_per_nonzero_fraction,gain_over_contiguous,gain_over_fixed_bsr
cora_gcnii16,real_trained,0.7482964249446086,P3_COST_AWARE,32,0.9972723154475619,0.2509787342475908,0.0027276845524380486,0.9990768094534712,0.7538797401827345,1.0074613683187639,0.0,0.0
cora_gcnii16,density_matched_independent,0.7475347927437223,P3_COST_AWARE,32,1.0,0.2524652072562777,0.0,1.000530834564254,0.7533558854581888,1.0077870525505588,0.0,0.0
cora_gcnii16,node_permuted,0.7482964249446086,P3_COST_AWARE,32,0.9993098861697719,0.2515290034189614,0.0006901138302281424,0.9994691654357459,0.7533612962537348,1.006768536024345,0.0,0.0
cora_gcnii16,temporally_shuffled,0.7482964249446086,P3_COST_AWARE,32,0.9972723154475619,0.2509787342475908,0.0027276845524380486,0.9990768094534712,0.7538797401827345,1.0074613683187639,0.0,0.0
cora_gcnii16,random_init,0.921582175498523,P3_COST_AWARE,32,1.0,0.0784178245014771,0.0,1.000530834564254,0.7533558854581888,0.8174592624370871,0.0,0.0
pubmed_gcnii16,real_trained,0.6300800863468073,P3_COST_AWARE,32,0.9652316308646626,0.2739774430115339,0.03476836913533742,0.865382664705584,0.8095792471076085,1.284883088119058,0.0,0.0
pubmed_gcnii16,density_matched_independent,0.6299921229142365,P3_COST_AWARE,32,0.9997440185564533,0.3700093851461039,0.0002559814435466575,1.0003708728508394,0.752650650117173,1.1946985093012576,0.0,0.0
pubmed_gcnii16,node_permuted,0.6300800863468073,P3_COST_AWARE,32,0.996838410218711,0.36296236014660493,0.003161589781289048,0.989808921235482,0.7535625226432845,1.19597895406031,0.0,0.0
pubmed_gcnii16,temporally_shuffled,0.6300800863468073,P3_COST_AWARE,32,0.9652316308646626,0.2739774430115339,0.03476836913533742,0.865382664705584,0.8095792471076085,1.284883088119058,0.0,0.0
pubmed_gcnii16,random_init,0.8806488769209312,P3_COST_AWARE,32,0.9997460136630701,0.11935147372159091,0.00025398633692986085,1.000427930212507,0.7524735613581899,0.8544535524636234,0.0,0.0
cora_deepres28_w128,real_trained,0.4851885616691285,P3_COST_AWARE,32,0.8695816337451986,0.350647822534811,0.13041836625480147,0.7252700332348597,0.8642913547916822,1.7813514643015855,0.0,0.0
cora_deepres28_w128,density_matched_independent,0.48540349196824223,P3_COST_AWARE,32,0.7014249416799156,0.3139851888020833,0.2985750583200844,0.6577155649926145,0.8474917273328921,1.7459530913064376,0.0,0.0
cora_deepres28_w128,node_permuted,0.4851885616691285,P3_COST_AWARE,32,0.8923491776570063,0.405903613503927,0.10765082234299374,0.7911512186115214,0.8372956715051654,1.7257118935877847,0.0,0.0
cora_deepres28_w128,temporally_shuffled,0.4851885616691285,P3_COST_AWARE,32,0.8695816337451986,0.350647822534811,0.13041836625480147,0.7252700332348597,0.8642913547916822,1.7813514643015855,0.0,0.0
cora_deepres28_w128,random_init,0.5318825297728951,P3_COST_AWARE,32,0.83766829886108,0.10228765578497023,0.16233170113892004,0.5922728951255539,1.0180967055123318,1.9141382702436984,0.0,0.0
