config_id,segment_start,W,panel_builder,panel_width,mean_within_panel_jaccard,median_within_panel_jaccard,mean_cross_panel_jaccard,panel_similarity_separation,mean_selected_rows_per_panel,mean_row_panel_occupancy,p10_row_panel_occupancy,p50_row_panel_occupancy,p90_row_panel_occupancy,dense_nnz_capture,padding_fraction,residual_fraction,cost_before_swaps,cost_after_swaps,accepted_swaps
cora_gcnii16,4,13,P0_CONTIGUOUS,4,0.6753106605436577,0.6767940441662961,0.6754660995162759,-0.00015543897261816042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2699121.5,2699121.5,0
cora_gcnii16,4,13,P1_DENSITY_SORTED,4,0.7583270231106627,0.768444262399838,0.6713152813879257,0.08701174172273696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2699085.5,2699085.5,0
cora_gcnii16,4,13,P2_CORRELATION,4,0.8592479305228116,0.8931906725647372,0.6662692360173181,0.19297869450549343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2699018.5,2699018.5,0
cora_gcnii16,4,13,P3_COST_AWARE,4,0.861846285050325,0.8932317811539028,0.6661393182909426,0.19570696675938237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2699018.5,2699015.5,1
cora_gcnii16,4,13,P3_COST_AWARE,4,0.861846285050325,0.8932317811539028,0.6661393182909426,0.19570696675938237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2699018.5,2699015.5,1
cora_gcnii16,4,13,P4_FIXED_BSR,4,0.6753106605436577,0.6767940441662961,0.6754660995162759,-0.00015543897261816042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2697713.5,2697713.5,0
cora_gcnii16,4,13,P0_CONTIGUOUS,8,0.670635216790558,0.6796288538631916,0.6760616327691717,-0.005426415978613708,56.39772727272727,0.38435659010881607,0.0,0.0,0.8820249495967742,0.4995605887376209,0.14373188518110944,0.5004394112623791,2621907.0,2621907.0,0
cora_gcnii16,4,13,P1_DENSITY_SORTED,8,0.749873252919196,0.7578568557749128,0.6661568782530919,0.08371637466610415,70.6875,0.5242617302210543,0.0,0.8403319835485825,0.9576225186104218,0.6616555886048084,0.09515837831487699,0.3383444113951915,2526755.5,2526755.5,0
cora_gcnii16,4,13,P2_CORRELATION,8,0.8111922202334918,0.8702651375490194,0.6584920073388051,0.15270021289468672,71.5965909090909,0.5673057083842544,0.0,0.8889277634130575,0.98779296875,0.6974103841217398,0.05768191064981398,0.30258961587826017,2466935.0,2466935.0,0
cora_gcnii16,4,13,P3_COST_AWARE,8,0.8182103993640689,0.8706344818269034,0.6576147349474829,0.16059566441658601,73.5909090909091,0.5831030183287784,0.0,0.8913755621072694,0.98779296875,0.7166681831771328,0.05859356440347793,0.28333181682286723,2466935.0,2462069.0,2
cora_gcnii16,4,13,P3_COST_AWARE,8,0.8182103993640689,0.8706344818269034,0.6576147349474829,0.16059566441658601,73.5965909090909,0.5833022471290094,0.0,0.8923202379511388,0.98779296875,0.7160063817774596,0.05814836952319779,0.2839936182225405,2466935.0,2462069.0,2
cora_gcnii16,4,13,P4_FIXED_BSR,8,0.670635216790558,0.6796288538631916,0.6760616327691717,-0.005426415978613708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2694903.5,2694903.5,0
cora_gcnii16,4,13,P0_CONTIGUOUS,16,0.6755131316161254,0.6784868146204531,0.6754416870492843,7.144456684105016e-05,122.18181818181819,0.7508672967657343,0.6878680889423077,0.7898888221153846,0.8613731971153846,0.9942370718424698,0.21337711767399267,0.005762928157530209,1419499.5,1419499.5,0
cora_gcnii16,4,13,P1_DENSITY_SORTED,16,0.7305054349191377,0.7359557133472361,0.658256592267093,0.07224884265204468,118.57954545454545,0.7634549516561884,0.5910028545673077,0.8071852463942308,0.9283991887019231,0.987281657815332,0.19515084221001805,0.012718342184668023,1412459.0,1412459.0,0
cora_gcnii16,4,13,P2_CORRELATION,16,0.7882788417503274,0.8400441337798861,0.6402024026323462,0.14807643911798118,114.64772727272727,0.7772205462448049,0.5829473738929102,0.8557990579044117,0.9718562199519231,0.9756167723420139,0.17026084164545377,0.02438322765798601,1400713.0,1400713.0,0
cora_gcnii16,4,13,P3_COST_AWARE,16,0.7926599635731625,0.8380494703922468,0.6388333020627103,0.1538266615104522,114.19318181818181,0.7779742909218971,0.5919776727509778,0.8633132865526019,0.9677959735576923,0.9796424011805045,0.17070202163246248,0.020357598819495504,1400713.0,1395124.5,2
cora_gcnii16,4,13,P3_COST_AWARE,16,0.7926599635731625,0.8380494703922468,0.6388333020627103,0.1538266615104522,114.625,0.7789708322688841,0.5919776727509778,0.8633132865526019,0.9677959735576923,0.9771771768377422,0.16803800879198713,0.022822823162257765,1400713.0,1395124.5,2
