config_id,model_valid,median_density,best_panel_builder,best_panel_width,best_escape_enabled,panel_hybrid_speedup,panel_hybrid_speedup_rho1_25,panel_hybrid_speedup_rho1_50,panel_hybrid_speedup_rho1_75,panel_hybrid_speedup_rho2_00,panel_byte_ratio_to_R0,panel_byte_ratio_to_phase2_anchor,panel_capture,panel_padding,panel_residual_fraction,panel_gain_over_contiguous,panel_gain_over_density_sorted,panel_gain_over_fixed_bsr,layer_local_oracle_speedup,oracle_gap_closed,mean_segment_length,greedy_to_dp,peak_live_bytes,capacity_pass,null_structural_gain,exactness_pass,numeric_equivalence_pass
cora_gcnii16,True,0.7853391127428702,P3_COST_AWARE,32,False,0.7610248751387579,0.7613653574690457,0.7610248751387579,0.7607371202243677,0.7604879435282329,0.8749564459930314,0.6211360313851721,0.9975466440000158,0.21368392541483716,0.0024533559999841757,0.0009091472265985168,-0.0007500883195510344,0.4052497252745719,0.7626977295189385,0,13.0,1.0,68697,True,0.0006953615610596486,True,True
pubmed_gcnii16,True,0.6742088655435957,P3_COST_AWARE,32,True,0.8042190253904296,0.8081121853875242,0.8042190253904296,0.8009420417495684,0.7981141845470651,0.854293883223735,0.5743210265132747,0.9735125097094608,0.24409669880730667,0.026487490290539255,0.059290569280709526,0.015503537033516368,1.0770093885850405,0.7817053512130231,0,13.0,1.0,69709,True,0.07563747800068055,True,True
cora_deepres28_w128,True,0.44088926329394384,P3_COST_AWARE,32,False,0.9279012673185265,0.9630789406665675,0.9279012673185265,0.8991633203254956,0.8749898047470749,1.0182813363768703,0.7563594665354778,0.7959097726255506,0.3429451111157208,0.20409022737444937,0.2324960993679197,-0.019447905476927208,0.27222817040750713,0.8397325320472299,0,13.0,1.0,106313,True,0.01982276276803252,True,True
chameleon_gcnii16,True,0.7073810850984764,P3_COST_AWARE,32,True,0.7857462927792259,0.7896894584012509,0.7857462927792259,0.7824277588064594,0.7795644449012943,0.8544938550710696,0.6006274655563416,0.9725440039161023,0.2153399895965784,0.027455996083897715,0.04128197907114495,0.016080230514287086,1.045173364334934,0.7900047075233196,0,13.0,1.0,68649,True,,True,True
cora_resgcn16,False,0.3411628472616748,P3_COST_AWARE,32,True,0.8499547470697792,0.8954662340345283,0.8499547470697792,0.8132847299921644,0.7828010042411502,0.8371929621929622,0.43443019500738755,0.7139043450997126,0.5232315878002669,0.2860956549002874,0.11019462499906507,-0.022670720730828542,0.48524542546480864,,1,13.0,1.0,63729,True,,True,True
pubmed_deepres28_w128,False,0.42701570979357917,P3_COST_AWARE,32,False,1.046759722565207,1.0807560640641434,1.046759722565207,1.0188518954216577,0.9952791797638678,0.917104425843684,0.6578297201038568,0.8246974089071831,0.26102798557498896,0.17530259109281687,1046759721.5652069,1046759721.5652069,1046759721.5652069,,1,13.0,1.0,107021,True,,True,True
