config_id,feature_cache_bytes,aggregate_decode_width_bits,decoder_instances_64bit,beicsr_width,xorflow_width,raw_xorflow_speedup,selected_speedup,selected_representation
chameleon_gcnii16,524288,512,8,64,64,0.8827586206896552,1.0,BEICSR
chameleon_gcnii16,524288,1024,16,64,64,0.9360544217687075,1.0,BEICSR
chameleon_gcnii16,524288,2048,32,64,64,0.9652753419852683,1.0,BEICSR
chameleon_gcnii16,524288,4096,64,64,64,0.9804061275382971,1.0,BEICSR
chameleon_gcnii16,1048576,64,1,64,64,0.4905963098315358,1.0,BEICSR
chameleon_gcnii16,1048576,128,2,64,64,0.6575080635527416,1.0,BEICSR
chameleon_gcnii16,1048576,512,8,64,64,0.8827586206896552,1.0,BEICSR
chameleon_gcnii16,1048576,1024,16,64,64,0.9360544217687075,1.0,BEICSR
chameleon_gcnii16,1048576,2048,32,64,64,0.9652753419852683,1.0,BEICSR
chameleon_gcnii16,1048576,4096,64,64,64,0.9804061275382971,1.0,BEICSR
