config_id,layer_id,slice_width,format,edge_order,feature_cache_bytes,cache_accesses,cache_hits,cache_misses,cache_hit_rate,metadata_dram_bytes,feature_dram_bytes,topology_dram_bytes,total_dram_bytes,support_decode_cycles,descriptor_cycles,serialized_cycles,alignment_waste_bytes
cora_gcnii16,16,32,free_support,O1,262144,21112,14248,6864,0.6748768472906403,0,439296,53060,492356,0,339,2263,181044
cora_gcnii16,16,32,beicsr,O1,524288,21112,15696,5416,0.7434634331186055,0,346624,53060,399684,0,339,1901,159380
cora_gcnii16,16,32,xorflow,O1,524288,21112,15696,5416,0.7434634331186055,15168,346624,53060,414852,1896,339,3856,181044
cora_gcnii16,16,32,free_support,O1,524288,21112,15696,5416,0.7434634331186055,0,346624,53060,399684,0,339,1901,181044
cora_gcnii16,16,32,beicsr,O1,1048576,21112,15696,5416,0.7434634331186055,0,346624,53060,399684,0,339,1901,159380
cora_gcnii16,16,32,xorflow,O1,1048576,21112,15696,5416,0.7434634331186055,15168,346624,53060,414852,1896,339,3856,181044
cora_gcnii16,16,32,free_support,O1,1048576,21112,15696,5416,0.7434634331186055,0,346624,53060,399684,0,339,1901,181044
cora_gcnii16,4,64,beicsr,O0,262144,12936,8887,4049,0.6869975262832406,0,259136,53060,312196,0,170,1390,52966
cora_gcnii16,4,64,xorflow,O0,262144,11211,7608,3603,0.6786192132726786,16800,230592,53060,300452,2100,170,3444,46086
cora_gcnii16,4,64,free_support,O0,262144,11211,7608,3603,0.6786192132726786,0,230592,53060,283652,0,170,1279,46086
cora_gcnii16,4,64,beicsr,O0,524288,12936,9611,3325,0.7429653679653679,0,212800,53060,265860,0,170,1209,52966
cora_gcnii16,4,64,xorflow,O0,524288,11211,8332,2879,0.7431986441887432,16800,184256,53060,254116,2100,170,3263,46086
cora_gcnii16,4,64,free_support,O0,524288,11211,8332,2879,0.7431986441887432,0,184256,53060,237316,0,170,1098,46086
cora_gcnii16,4,64,beicsr,O0,1048576,12936,9611,3325,0.7429653679653679,0,212800,53060,265860,0,170,1209,52966
cora_gcnii16,4,64,xorflow,O0,1048576,11211,8332,2879,0.7431986441887432,16800,184256,53060,254116,2100,170,3263,46086
cora_gcnii16,4,64,free_support,O0,1048576,11211,8332,2879,0.7431986441887432,0,184256,53060,237316,0,170,1098,46086
cora_gcnii16,8,64,beicsr,O0,262144,13909,9666,4243,0.694945718599468,0,271552,53060,324612,0,170,1439,62797
cora_gcnii16,8,64,xorflow,O0,262144,11474,7814,3660,0.6810179536343036,10592,234240,53060,297892,1324,170,2658,47149
cora_gcnii16,8,64,free_support,O0,262144,11474,7814,3660,0.6810179536343036,0,234240,53060,287300,0,170,1293,47149
cora_gcnii16,8,64,beicsr,O0,524288,13909,10390,3519,0.7469983463944209,0,225216,53060,278276,0,170,1258,62797
cora_gcnii16,8,64,xorflow,O0,524288,11474,8538,2936,0.7441171343907966,10592,187904,53060,251556,1324,170,2477,47149
cora_gcnii16,8,64,free_support,O0,524288,11474,8538,2936,0.7441171343907966,0,187904,53060,240964,0,170,1112,47149
cora_gcnii16,8,64,beicsr,O0,1048576,13909,10390,3519,0.7469983463944209,0,225216,53060,278276,0,170,1258,62797
cora_gcnii16,8,64,xorflow,O0,1048576,11474,8538,2936,0.7441171343907966,10592,187904,53060,251556,1324,170,2477,47149
cora_gcnii16,8,64,free_support,O0,1048576,11474,8538,2936,0.7441171343907966,0,187904,53060,240964,0,170,1112,47149
cora_gcnii16,12,64,beicsr,O0,262144,15812,11080,4732,0.7007336200354162,0,302848,53060,355908,0,170,1561,86061
cora_gcnii16,12,64,xorflow,O0,262144,12433,8557,3876,0.6882490147188932,9120,248064,53060,310244,1140,170,2522,52941
cora_gcnii16,12,64,free_support,O0,262144,12433,8557,3876,0.6882490147188932,0,248064,53060,301124,0,170,1347,52941
cora_gcnii16,12,64,beicsr,O0,524288,15812,11804,4008,0.7465216291424235,0,256512,53060,309572,0,170,1380,86061
cora_gcnii16,12,64,xorflow,O0,524288,12433,9281,3152,0.7464811389045283,9120,201728,53060,263908,1140,170,2341,52941
cora_gcnii16,12,64,free_support,O0,524288,12433,9281,3152,0.7464811389045283,0,201728,53060,254788,0,170,1166,52941
cora_gcnii16,12,64,beicsr,O0,1048576,15812,11804,4008,0.7465216291424235,0,256512,53060,309572,0,170,1380,86061
cora_gcnii16,12,64,xorflow,O0,1048576,12433,9281,3152,0.7464811389045283,9120,201728,53060,263908,1140,170,2341,52941
cora_gcnii16,12,64,free_support,O0,1048576,12433,9281,3152,0.7464811389045283,0,201728,53060,254788,0,170,1166,52941
cora_gcnii16,16,64,beicsr,O0,262144,16855,11853,5002,0.7032334618807475,0,320128,53060,373188,0,170,1628,97316
cora_gcnii16,16,64,xorflow,O0,262144,13458,9327,4131,0.693045028979046,13664,264384,53060,331108,1708,170,3172,63300
cora_gcnii16,16,64,free_support,O0,262144,13458,9327,4131,0.693045028979046,0,264384,53060,317444,0,170,1411,63300
cora_gcnii16,16,64,beicsr,O0,524288,16855,12578,4277,0.7462474043310591,0,273728,53060,326788,0,170,1447,97316
cora_gcnii16,16,64,xorflow,O0,524288,13458,10051,3407,0.7468420270471096,13664,218048,53060,284772,1708,170,2991,63300
cora_gcnii16,16,64,free_support,O0,524288,13458,10051,3407,0.7468420270471096,0,218048,53060,271108,0,170,1230,63300
cora_gcnii16,16,64,beicsr,O0,1048576,16855,12578,4277,0.7462474043310591,0,273728,53060,326788,0,170,1447,97316
cora_gcnii16,16,64,xorflow,O0,1048576,13458,10051,3407,0.7468420270471096,13664,218048,53060,284772,1708,170,2991,63300
cora_gcnii16,16,64,free_support,O0,1048576,13458,10051,3407,0.7468420270471096,0,218048,53060,271108,0,170,1230,63300
cora_gcnii16,4,64,beicsr,O1,262144,12936,8887,4049,0.6869975262832406,0,259136,53060,312196,0,170,1390,52966
cora_gcnii16,4,64,xorflow,O1,262144,11211,7608,3603,0.6786192132726786,16800,230592,53060,300452,2100,170,3444,46086
cora_gcnii16,4,64,free_support,O1,262144,11211,7608,3603,0.6786192132726786,0,230592,53060,283652,0,170,1279,46086
cora_gcnii16,4,64,beicsr,O1,524288,12936,9611,3325,0.7429653679653679,0,212800,53060,265860,0,170,1209,52966
cora_gcnii16,4,64,xorflow,O1,524288,11211,8332,2879,0.7431986441887432,16800,184256,53060,254116,2100,170,3263,46086
cora_gcnii16,4,64,free_support,O1,524288,11211,8332,2879,0.7431986441887432,0,184256,53060,237316,0,170,1098,46086
cora_gcnii16,4,64,beicsr,O1,1048576,12936,9611,3325,0.7429653679653679,0,212800,53060,265860,0,170,1209,52966
cora_gcnii16,4,64,xorflow,O1,1048576,11211,8332,2879,0.7431986441887432,16800,184256,53060,254116,2100,170,3263,46086
cora_gcnii16,4,64,free_support,O1,1048576,11211,8332,2879,0.7431986441887432,0,184256,53060,237316,0,170,1098,46086
cora_gcnii16,8,64,beicsr,O1,262144,13909,9666,4243,0.694945718599468,0,271552,53060,324612,0,170,1439,62797
cora_gcnii16,8,64,xorflow,O1,262144,11474,7814,3660,0.6810179536343036,10592,234240,53060,297892,1324,170,2658,47149
cora_gcnii16,8,64,free_support,O1,262144,11474,7814,3660,0.6810179536343036,0,234240,53060,287300,0,170,1293,47149
cora_gcnii16,8,64,beicsr,O1,524288,13909,10390,3519,0.7469983463944209,0,225216,53060,278276,0,170,1258,62797
cora_gcnii16,8,64,xorflow,O1,524288,11474,8538,2936,0.7441171343907966,10592,187904,53060,251556,1324,170,2477,47149
cora_gcnii16,8,64,free_support,O1,524288,11474,8538,2936,0.7441171343907966,0,187904,53060,240964,0,170,1112,47149
cora_gcnii16,8,64,beicsr,O1,1048576,13909,10390,3519,0.7469983463944209,0,225216,53060,278276,0,170,1258,62797
cora_gcnii16,8,64,xorflow,O1,1048576,11474,8538,2936,0.7441171343907966,10592,187904,53060,251556,1324,170,2477,47149
cora_gcnii16,8,64,free_support,O1,1048576,11474,8538,2936,0.7441171343907966,0,187904,53060,240964,0,170,1112,47149
cora_gcnii16,12,64,beicsr,O1,262144,15812,11080,4732,0.7007336200354162,0,302848,53060,355908,0,170,1561,86061
cora_gcnii16,12,64,xorflow,O1,262144,12433,8557,3876,0.6882490147188932,9120,248064,53060,310244,1140,170,2522,52941
cora_gcnii16,12,64,free_support,O1,262144,12433,8557,3876,0.6882490147188932,0,248064,53060,301124,0,170,1347,52941
cora_gcnii16,12,64,beicsr,O1,524288,15812,11804,4008,0.7465216291424235,0,256512,53060,309572,0,170,1380,86061
cora_gcnii16,12,64,xorflow,O1,524288,12433,9281,3152,0.7464811389045283,9120,201728,53060,263908,1140,170,2341,52941
cora_gcnii16,12,64,free_support,O1,524288,12433,9281,3152,0.7464811389045283,0,201728,53060,254788,0,170,1166,52941
cora_gcnii16,12,64,beicsr,O1,1048576,15812,11804,4008,0.7465216291424235,0,256512,53060,309572,0,170,1380,86061
cora_gcnii16,12,64,xorflow,O1,1048576,12433,9281,3152,0.7464811389045283,9120,201728,53060,263908,1140,170,2341,52941
cora_gcnii16,12,64,free_support,O1,1048576,12433,9281,3152,0.7464811389045283,0,201728,53060,254788,0,170,1166,52941
cora_gcnii16,16,64,beicsr,O1,262144,16855,11853,5002,0.7032334618807475,0,320128,53060,373188,0,170,1628,97316
cora_gcnii16,16,64,xorflow,O1,262144,13458,9327,4131,0.693045028979046,13664,264384,53060,331108,1708,170,3172,63300
cora_gcnii16,16,64,free_support,O1,262144,13458,9327,4131,0.693045028979046,0,264384,53060,317444,0,170,1411,63300
cora_gcnii16,16,64,beicsr,O1,524288,16855,12578,4277,0.7462474043310591,0,273728,53060,326788,0,170,1447,97316
cora_gcnii16,16,64,xorflow,O1,524288,13458,10051,3407,0.7468420270471096,13664,218048,53060,284772,1708,170,2991,63300
cora_gcnii16,16,64,free_support,O1,524288,13458,10051,3407,0.7468420270471096,0,218048,53060,271108,0,170,1230,63300
cora_gcnii16,16,64,beicsr,O1,1048576,16855,12578,4277,0.7462474043310591,0,273728,53060,326788,0,170,1447,97316
cora_gcnii16,16,64,xorflow,O1,1048576,13458,10051,3407,0.7468420270471096,13664,218048,53060,284772,1708,170,2991,63300
cora_gcnii16,16,64,free_support,O1,1048576,13458,10051,3407,0.7468420270471096,0,218048,53060,271108,0,170,1230,63300
cora_gcnii16,4,96,beicsr,O0,262144,12936,8887,4049,0.6869975262832406,0,259136,53060,312196,0,170,1390,52966
cora_gcnii16,4,96,xorflow,O0,262144,11211,7608,3603,0.6786192132726786,16800,230592,53060,300452,2100,170,3444,46086
cora_gcnii16,4,96,free_support,O0,262144,11211,7608,3603,0.6786192132726786,0,230592,53060,283652,0,170,1279,46086
cora_gcnii16,4,96,beicsr,O0,524288,12936,9611,3325,0.7429653679653679,0,212800,53060,265860,0,170,1209,52966
cora_gcnii16,4,96,xorflow,O0,524288,11211,8332,2879,0.7431986441887432,16800,184256,53060,254116,2100,170,3263,46086
cora_gcnii16,4,96,free_support,O0,524288,11211,8332,2879,0.7431986441887432,0,184256,53060,237316,0,170,1098,46086
cora_gcnii16,4,96,beicsr,O0,1048576,12936,9611,3325,0.7429653679653679,0,212800,53060,265860,0,170,1209,52966
cora_gcnii16,4,96,xorflow,O0,1048576,11211,8332,2879,0.7431986441887432,16800,184256,53060,254116,2100,170,3263,46086
cora_gcnii16,4,96,free_support,O0,1048576,11211,8332,2879,0.7431986441887432,0,184256,53060,237316,0,170,1098,46086
cora_gcnii16,8,96,beicsr,O0,262144,13909,9666,4243,0.694945718599468,0,271552,53060,324612,0,170,1439,62797
cora_gcnii16,8,96,xorflow,O0,262144,11474,7814,3660,0.6810179536343036,10592,234240,53060,297892,1324,170,2658,47149
cora_gcnii16,8,96,free_support,O0,262144,11474,7814,3660,0.6810179536343036,0,234240,53060,287300,0,170,1293,47149
cora_gcnii16,8,96,beicsr,O0,524288,13909,10390,3519,0.7469983463944209,0,225216,53060,278276,0,170,1258,62797
cora_gcnii16,8,96,xorflow,O0,524288,11474,8538,2936,0.7441171343907966,10592,187904,53060,251556,1324,170,2477,47149
cora_gcnii16,8,96,free_support,O0,524288,11474,8538,2936,0.7441171343907966,0,187904,53060,240964,0,170,1112,47149
cora_gcnii16,8,96,beicsr,O0,1048576,13909,10390,3519,0.7469983463944209,0,225216,53060,278276,0,170,1258,62797
cora_gcnii16,8,96,xorflow,O0,1048576,11474,8538,2936,0.7441171343907966,10592,187904,53060,251556,1324,170,2477,47149
cora_gcnii16,8,96,free_support,O0,1048576,11474,8538,2936,0.7441171343907966,0,187904,53060,240964,0,170,1112,47149
cora_gcnii16,12,96,beicsr,O0,262144,15812,11080,4732,0.7007336200354162,0,302848,53060,355908,0,170,1561,86061
cora_gcnii16,12,96,xorflow,O0,262144,12433,8557,3876,0.6882490147188932,9120,248064,53060,310244,1140,170,2522,52941
cora_gcnii16,12,96,free_support,O0,262144,12433,8557,3876,0.6882490147188932,0,248064,53060,301124,0,170,1347,52941
cora_gcnii16,12,96,beicsr,O0,524288,15812,11804,4008,0.7465216291424235,0,256512,53060,309572,0,170,1380,86061
cora_gcnii16,12,96,xorflow,O0,524288,12433,9281,3152,0.7464811389045283,9120,201728,53060,263908,1140,170,2341,52941
cora_gcnii16,12,96,free_support,O0,524288,12433,9281,3152,0.7464811389045283,0,201728,53060,254788,0,170,1166,52941
cora_gcnii16,12,96,beicsr,O0,1048576,15812,11804,4008,0.7465216291424235,0,256512,53060,309572,0,170,1380,86061
cora_gcnii16,12,96,xorflow,O0,1048576,12433,9281,3152,0.7464811389045283,9120,201728,53060,263908,1140,170,2341,52941
cora_gcnii16,12,96,free_support,O0,1048576,12433,9281,3152,0.7464811389045283,0,201728,53060,254788,0,170,1166,52941
cora_gcnii16,16,96,beicsr,O0,262144,16855,11853,5002,0.7032334618807475,0,320128,53060,373188,0,170,1628,97316
cora_gcnii16,16,96,xorflow,O0,262144,13458,9327,4131,0.693045028979046,13664,264384,53060,331108,1708,170,3172,63300
cora_gcnii16,16,96,free_support,O0,262144,13458,9327,4131,0.693045028979046,0,264384,53060,317444,0,170,1411,63300
cora_gcnii16,16,96,beicsr,O0,524288,16855,12578,4277,0.7462474043310591,0,273728,53060,326788,0,170,1447,97316
cora_gcnii16,16,96,xorflow,O0,524288,13458,10051,3407,0.7468420270471096,13664,218048,53060,284772,1708,170,2991,63300
cora_gcnii16,16,96,free_support,O0,524288,13458,10051,3407,0.7468420270471096,0,218048,53060,271108,0,170,1230,63300
cora_gcnii16,16,96,beicsr,O0,1048576,16855,12578,4277,0.7462474043310591,0,273728,53060,326788,0,170,1447,97316
cora_gcnii16,16,96,xorflow,O0,1048576,13458,10051,3407,0.7468420270471096,13664,218048,53060,284772,1708,170,2991,63300
cora_gcnii16,16,96,free_support,O0,1048576,13458,10051,3407,0.7468420270471096,0,218048,53060,271108,0,170,1230,63300
cora_gcnii16,4,96,beicsr,O1,262144,12936,8887,4049,0.6869975262832406,0,259136,53060,312196,0,170,1390,52966
cora_gcnii16,4,96,xorflow,O1,262144,11211,7608,3603,0.6786192132726786,16800,230592,53060,300452,2100,170,3444,46086
cora_gcnii16,4,96,free_support,O1,262144,11211,7608,3603,0.6786192132726786,0,230592,53060,283652,0,170,1279,46086
cora_gcnii16,4,96,beicsr,O1,524288,12936,9611,3325,0.7429653679653679,0,212800,53060,265860,0,170,1209,52966
cora_gcnii16,4,96,xorflow,O1,524288,11211,8332,2879,0.7431986441887432,16800,184256,53060,254116,2100,170,3263,46086
cora_gcnii16,4,96,free_support,O1,524288,11211,8332,2879,0.7431986441887432,0,184256,53060,237316,0,170,1098,46086
cora_gcnii16,4,96,beicsr,O1,1048576,12936,9611,3325,0.7429653679653679,0,212800,53060,265860,0,170,1209,52966
cora_gcnii16,4,96,xorflow,O1,1048576,11211,8332,2879,0.7431986441887432,16800,184256,53060,254116,2100,170,3263,46086
cora_gcnii16,4,96,free_support,O1,1048576,11211,8332,2879,0.7431986441887432,0,184256,53060,237316,0,170,1098,46086
cora_gcnii16,8,96,beicsr,O1,262144,13909,9666,4243,0.694945718599468,0,271552,53060,324612,0,170,1439,62797
cora_gcnii16,8,96,xorflow,O1,262144,11474,7814,3660,0.6810179536343036,10592,234240,53060,297892,1324,170,2658,47149
cora_gcnii16,8,96,free_support,O1,262144,11474,7814,3660,0.6810179536343036,0,234240,53060,287300,0,170,1293,47149
cora_gcnii16,8,96,beicsr,O1,524288,13909,10390,3519,0.7469983463944209,0,225216,53060,278276,0,170,1258,62797
cora_gcnii16,8,96,xorflow,O1,524288,11474,8538,2936,0.7441171343907966,10592,187904,53060,251556,1324,170,2477,47149
cora_gcnii16,8,96,free_support,O1,524288,11474,8538,2936,0.7441171343907966,0,187904,53060,240964,0,170,1112,47149
cora_gcnii16,8,96,beicsr,O1,1048576,13909,10390,3519,0.7469983463944209,0,225216,53060,278276,0,170,1258,62797
cora_gcnii16,8,96,xorflow,O1,1048576,11474,8538,2936,0.7441171343907966,10592,187904,53060,251556,1324,170,2477,47149
cora_gcnii16,8,96,free_support,O1,1048576,11474,8538,2936,0.7441171343907966,0,187904,53060,240964,0,170,1112,47149
cora_gcnii16,12,96,beicsr,O1,262144,15812,11080,4732,0.7007336200354162,0,302848,53060,355908,0,170,1561,86061
cora_gcnii16,12,96,xorflow,O1,262144,12433,8557,3876,0.6882490147188932,9120,248064,53060,310244,1140,170,2522,52941
cora_gcnii16,12,96,free_support,O1,262144,12433,8557,3876,0.6882490147188932,0,248064,53060,301124,0,170,1347,52941
cora_gcnii16,12,96,beicsr,O1,524288,15812,11804,4008,0.7465216291424235,0,256512,53060,309572,0,170,1380,86061
cora_gcnii16,12,96,xorflow,O1,524288,12433,9281,3152,0.7464811389045283,9120,201728,53060,263908,1140,170,2341,52941
cora_gcnii16,12,96,free_support,O1,524288,12433,9281,3152,0.7464811389045283,0,201728,53060,254788,0,170,1166,52941
cora_gcnii16,12,96,beicsr,O1,1048576,15812,11804,4008,0.7465216291424235,0,256512,53060,309572,0,170,1380,86061
cora_gcnii16,12,96,xorflow,O1,1048576,12433,9281,3152,0.7464811389045283,9120,201728,53060,263908,1140,170,2341,52941
cora_gcnii16,12,96,free_support,O1,1048576,12433,9281,3152,0.7464811389045283,0,201728,53060,254788,0,170,1166,52941
cora_gcnii16,16,96,beicsr,O1,262144,16855,11853,5002,0.7032334618807475,0,320128,53060,373188,0,170,1628,97316
cora_gcnii16,16,96,xorflow,O1,262144,13458,9327,4131,0.693045028979046,13664,264384,53060,331108,1708,170,3172,63300
cora_gcnii16,16,96,free_support,O1,262144,13458,9327,4131,0.693045028979046,0,264384,53060,317444,0,170,1411,63300
cora_gcnii16,16,96,beicsr,O1,524288,16855,12578,4277,0.7462474043310591,0,273728,53060,326788,0,170,1447,97316
cora_gcnii16,16,96,xorflow,O1,524288,13458,10051,3407,0.7468420270471096,13664,218048,53060,284772,1708,170,2991,63300
cora_gcnii16,16,96,free_support,O1,524288,13458,10051,3407,0.7468420270471096,0,218048,53060,271108,0,170,1230,63300
