LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
404, 33.0, 493.0, 4736, 1.0, 425.0, 4096, 63.0, 523.0, 4736, -263.0, -1.0, 2368, -525.0, -1.0, 4096, 523.0, 670.0, 4736,
405, 33.0, 1017.0, 9472, 1.0, 949.0, 8192, 63.0, 1047.0, 9472, -263.0, -1.0, 2368, -1049.0, -1.0, 8192, 1047.0, 1342.0, 9472,
406, 33.0, 2065.0, 18944, 1.0, 1997.0, 16384, 63.0, 2095.0, 18944, -525.0, -1.0, 4736, -1835.0, -1.0, 16384, 2095.0, 2686.0, 18944,
407, 33.0, 205.0, 304, 29.0, 164.0, 256, 63.0, 263.0, 2432, -263.0, -1.0, 152, -263.0, -1.0, 256, 263.0, 338.0, 2432,
408, 33.0, 469.0, 608, 29.0, 428.0, 512, 63.0, 527.0, 4864, -263.0, -1.0, 152, -263.0, -1.0, 512, 527.0, 678.0, 4864,
409, 33.0, 209.0, 608, 25.0, 164.0, 512, 63.0, 263.0, 2432, -263.0, -1.0, 304, -263.0, -1.0, 512, 263.0, 338.0, 2432,
410, 33.0, 473.0, 1216, 25.0, 428.0, 1024, 63.0, 527.0, 4864, -263.0, -1.0, 304, -263.0, -1.0, 1024, 527.0, 678.0, 4864,
411, 33.0, 217.0, 1216, 17.0, 164.0, 1024, 63.0, 263.0, 2432, -263.0, -1.0, 608, -263.0, -1.0, 1024, 263.0, 338.0, 2432,
412, 33.0, 481.0, 2432, 17.0, 428.0, 2048, 63.0, 527.0, 4864, -263.0, -1.0, 608, -263.0, -1.0, 2048, 527.0, 678.0, 4864,
413, 33.0, 233.0, 2432, 1.0, 164.0, 2048, 63.0, 263.0, 2432, -263.0, -1.0, 1216, -263.0, -1.0, 2048, 263.0, 338.0, 2432,
414, 33.0, 497.0, 4864, 1.0, 428.0, 4096, 63.0, 527.0, 4864, -263.0, -1.0, 1216, -525.0, -1.0, 4096, 527.0, 678.0, 4864,
415, 33.0, 497.0, 4864, 1.0, 428.0, 4096, 63.0, 527.0, 4864, -263.0, -1.0, 2432, -525.0, -1.0, 4096, 527.0, 678.0, 4864,
416, 33.0, 1025.0, 9728, 1.0, 956.0, 8192, 63.0, 1055.0, 9728, -263.0, -1.0, 2432, -1049.0, -1.0, 8192, 1055.0, 1358.0, 9728,
417, 33.0, 2081.0, 19456, 1.0, 2012.0, 16384, 63.0, 2111.0, 19456, -525.0, -1.0, 4864, -1835.0, -1.0, 16384, 2111.0, 2718.0, 19456,
418, 33.0, 207.0, 312, 29.0, 165.0, 256, 63.0, 265.0, 2496, -263.0, -1.0, 156, -263.0, -1.0, 256, 265.0, 342.0, 2496,
419, 33.0, 473.0, 624, 29.0, 431.0, 512, 63.0, 531.0, 4992, -263.0, -1.0, 156, -263.0, -1.0, 512, 531.0, 686.0, 4992,
