LayerID, Total Cycles (incl. prefetch), Total Cycles, Stall Cycles, Overall Util %, Mapping Efficiency %, Compute Util %,
0, 453, 189, 0, 0.13227513227513227, 12.5, 0.0992063492063492,
1, 645, 379, 0, 0.13192612137203166, 12.5, 0.0992063492063492,
2, 453, 189, 0, 0.26455026455026454, 25.0, 0.1984126984126984,
3, 645, 379, 0, 0.2638522427440633, 25.0, 0.1984126984126984,
4, 453, 189, 0, 0.5291005291005291, 50.0, 0.3968253968253968,
5, 645, 379, 0, 0.5277044854881267, 50.0, 0.3968253968253968,
6, 453, 189, 0, 1.0582010582010581, 100.0, 0.7936507936507936,
7, 907, 379, 0, 1.0554089709762533, 100.0, 0.7936507936507936,
8, 907, 379, 0, 1.0554089709762533, 100.0, 0.7936507936507936,
9, 1815, 759, 0, 1.0540184453227932, 100.0, 0.7936507936507936,
10, 3369, 1519, 0, 1.0533245556287032, 100.0, 0.7936507936507936,
11, 457, 191, 0, 0.2617801047120419, 12.5, 0.19685039370078738,
12, 653, 383, 0, 0.26109660574412535, 12.5, 0.19685039370078738,
13, 457, 191, 0, 0.5235602094240838, 25.0, 0.39370078740157477,
14, 653, 383, 0, 0.5221932114882507, 25.0, 0.39370078740157477,
15, 457, 191, 0, 1.0471204188481675, 50.0, 0.7874015748031495,
16, 653, 383, 0, 1.0443864229765014, 50.0, 0.7874015748031495,
17, 457, 191, 0, 2.094240837696335, 100.0, 1.574803149606299,
18, 915, 383, 0, 2.088772845953003, 100.0, 1.574803149606299,
19, 915, 383, 0, 2.088772845953003, 100.0, 1.574803149606299,
20, 1831, 767, 0, 2.0860495436766624, 100.0, 1.574803149606299,
21, 3401, 1535, 0, 2.0846905537459284, 100.0, 1.574803149606299,
22, 461, 193, 0, 0.38860103626943004, 12.5, 0.29296875,
23, 661, 387, 0, 0.3875968992248062, 12.5, 0.29296875,
24, 461, 193, 0, 0.7772020725388601, 25.0, 0.5859375,
25, 661, 387, 0, 0.7751937984496124, 25.0, 0.5859375,
26, 461, 193, 0, 1.5544041450777202, 50.0, 1.171875,
27, 661, 387, 0, 1.550387596899225, 50.0, 1.171875,
28, 461, 193, 0, 3.1088082901554404, 100.0, 2.34375,
29, 923, 387, 0, 3.10077519379845, 100.0, 2.34375,
30, 923, 387, 0, 3.10077519379845, 100.0, 2.34375,
31, 1847, 775, 0, 3.096774193548387, 100.0, 2.34375,
32, 3433, 1551, 0, 3.094777562862669, 100.0, 2.34375,
33, 465, 195, 0, 0.5128205128205128, 12.5, 0.3875968992248062,
34, 669, 391, 0, 0.5115089514066496, 12.5, 0.3875968992248062,
35, 465, 195, 0, 1.0256410256410255, 25.0, 0.7751937984496124,
36, 669, 391, 0, 1.0230179028132993, 25.0, 0.7751937984496124,
37, 465, 195, 0, 2.051282051282051, 50.0, 1.550387596899225,
38, 669, 391, 0, 2.0460358056265986, 50.0, 1.550387596899225,
39, 465, 195, 0, 4.102564102564102, 100.0, 3.10077519379845,
40, 931, 391, 0, 4.092071611253197, 100.0, 3.10077519379845,
41, 931, 391, 0, 4.092071611253197, 100.0, 3.10077519379845,
